pixel_x,pixel_y,axial_strain_global_pct,deviator_stress_kPa,q_smooth_kPa,axial_strain_local_pct,figure_id,specimen_id,stage_index,stage,matric_suction_kPa,source_q_peak_kPa
112,382.0,0.13688212927756654,33.942558746736296,36.8798955613577,0.0,F-16,ST-116E,1,single,10.3,392.3
113,381.0,0.15969581749049427,35.24804177545692,38.51174934725849,0.02281368821292773,F-16,ST-116E,1,single,10.3,392.3
114,378.5,0.18250950570342206,38.51174934725849,39.49086161879896,0.045627376425855515,F-16,ST-116E,1,single,10.3,392.3
115,377.0,0.20532319391634982,40.469973890339425,40.469973890339425,0.06844106463878327,F-16,ST-116E,1,single,10.3,392.3
116,373.5,0.22813688212927757,45.03916449086162,45.03916449086162,0.09125475285171103,F-16,ST-116E,1,single,10.3,392.3
117,372.0,0.2509505703422053,46.99738903394256,46.99738903394256,0.11406844106463876,F-16,ST-116E,1,single,10.3,392.3
118,370.5,0.2737642585551331,48.9556135770235,48.9556135770235,0.13688212927756654,F-16,ST-116E,1,single,10.3,392.3
119,367.5,0.2965779467680608,52.87206266318538,52.87206266318538,0.15969581749049427,F-16,ST-116E,1,single,10.3,392.3
120,366.5,0.31939163498098855,54.177545691906005,54.177545691906005,0.182509505703422,F-16,ST-116E,1,single,10.3,392.3
121,364.0,0.3422053231939164,57.44125326370757,57.44125326370757,0.20532319391634984,F-16,ST-116E,1,single,10.3,392.3
122,362.5,0.3650190114068441,59.39947780678851,59.39947780678851,0.22813688212927757,F-16,ST-116E,1,single,10.3,392.3
123,359.5,0.38783269961977185,63.31592689295039,63.31592689295039,0.2509505703422053,F-16,ST-116E,1,single,10.3,392.3
124,358.5,0.41064638783269963,64.62140992167102,64.62140992167102,0.2737642585551331,F-16,ST-116E,1,single,10.3,392.3
125,355.5,0.4334600760456273,68.53785900783289,68.53785900783289,0.29657794676806076,F-16,ST-116E,1,single,10.3,392.3
126,353.5,0.45627376425855515,71.14882506527415,71.14882506527415,0.3193916349809886,F-16,ST-116E,1,single,10.3,392.3
127,351.0,0.4790874524714829,74.41253263707571,74.41253263707571,0.34220532319391633,F-16,ST-116E,1,single,10.3,392.3
128,350.0,0.5019011406844106,75.71801566579634,75.71801566579634,0.36501901140684406,F-16,ST-116E,1,single,10.3,392.3
129,347.0,0.5247148288973384,79.63446475195822,79.63446475195822,0.3878326996197719,F-16,ST-116E,1,single,10.3,392.3
130,344.5,0.5475285171102662,82.8981723237598,82.8981723237598,0.41064638783269963,F-16,ST-116E,1,single,10.3,392.3
