pixel_x,pixel_y,axial_strain_global_pct,deviator_stress_kPa,q_smooth_kPa,axial_strain_local_pct,figure_id,specimen_id,stage_index,stage,matric_suction_kPa,source_q_peak_kPa
108,384.0,0.09056603773584905,25.06527415143603,31.070496083550914,0.0,F-26,ST-39A,1,1st,55.2,146.1
109,380.5,0.10566037735849057,28.720626631853786,33.420365535248045,0.01509433962264152,F-26,ST-39A,1,1st,55.2,146.1
110,376.0,0.12075471698113208,33.420365535248045,34.203655352480425,0.030188679245283026,F-26,ST-39A,1,1st,55.2,146.1
111,374.5,0.13584905660377358,34.9869451697128,34.9869451697128,0.04528301886792453,F-26,ST-39A,1,1st,55.2,146.1
112,373.0,0.1509433962264151,36.55352480417754,36.55352480417754,0.06037735849056604,F-26,ST-39A,1,1st,55.2,146.1
113,371.0,0.1660377358490566,38.642297650130544,38.642297650130544,0.07547169811320754,F-26,ST-39A,1,1st,55.2,146.1
114,369.0,0.1811320754716981,40.73107049608355,40.73107049608355,0.09056603773584905,F-26,ST-39A,1,1st,55.2,146.1
115,363.0,0.19622641509433963,46.99738903394256,46.99738903394256,0.10566037735849058,F-26,ST-39A,1,1st,55.2,146.1
116,360.5,0.21132075471698114,49.60835509138381,49.60835509138381,0.12075471698113209,F-26,ST-39A,1,1st,55.2,146.1
117,358.0,0.22641509433962265,52.219321148825074,52.219321148825074,0.1358490566037736,F-26,ST-39A,1,1st,55.2,146.1
118,356.0,0.24150943396226415,54.308093994778076,54.308093994778076,0.15094339622641512,F-26,ST-39A,1,1st,55.2,146.1
119,350.0,0.25660377358490566,60.574412532637076,60.574412532637076,0.16603773584905662,F-26,ST-39A,1,1st,55.2,146.1
120,346.5,0.27169811320754716,64.22976501305483,64.22976501305483,0.18113207547169813,F-26,ST-39A,1,1st,55.2,146.1
121,343.5,0.28679245283018867,67.36292428198433,67.36292428198433,0.19622641509433963,F-26,ST-39A,1,1st,55.2,146.1
122,342.5,0.3018867924528302,68.40731070496084,68.40731070496084,0.21132075471698114,F-26,ST-39A,1,1st,55.2,146.1
123,341.5,0.3169811320754717,69.45169712793734,69.45169712793734,0.22641509433962265,F-26,ST-39A,1,1st,55.2,146.1
124,339.0,0.3320754716981132,72.0626631853786,72.0626631853786,0.24150943396226415,F-26,ST-39A,1,1st,55.2,146.1
125,337.0,0.3471698113207547,74.1514360313316,74.1514360313316,0.25660377358490566,F-26,ST-39A,1,1st,55.2,146.1
126,335.0,0.3622641509433962,76.2402088772846,76.2402088772846,0.27169811320754716,F-26,ST-39A,1,1st,55.2,146.1
127,332.0,0.37735849056603776,79.37336814621409,79.37336814621409,0.2867924528301887,F-26,ST-39A,1,1st,55.2,146.1
128,330.5,0.39245283018867927,80.93994778067885,80.93994778067885,0.30188679245283023,F-26,ST-39A,1,1st,55.2,146.1
129,329.5,0.4075471698113208,81.98433420365535,81.98433420365535,0.31698113207547174,F-26,ST-39A,1,1st,55.2,146.1
130,328.0,0.4226415094339623,83.5509138381201,83.5509138381201,0.33207547169811324,F-26,ST-39A,1,1st,55.2,146.1
131,324.5,0.4377358490566038,87.20626631853786,87.20626631853786,0.34716981132075475,F-26,ST-39A,1,1st,55.2,146.1
132,321.0,0.4528301886792453,90.86161879895562,90.86161879895562,0.36226415094339626,F-26,ST-39A,1,1st,55.2,146.1
133,318.5,0.4679245283018868,93.47258485639686,93.47258485639686,0.37735849056603776,F-26,ST-39A,1,1st,55.2,146.1
134,317.5,0.4830188679245283,94.51697127937337,94.51697127937337,0.39245283018867927,F-26,ST-39A,1,1st,55.2,146.1
135,315.5,0.4981132075471698,96.60574412532638,96.60574412532638,0.4075471698113208,F-26,ST-39A,1,1st,55.2,146.1
136,313.5,0.5132075471698113,98.69451697127938,98.69451697127938,0.4226415094339623,F-26,ST-39A,1,1st,55.2,146.1
137,311.5,0.5283018867924528,100.78328981723237,100.78328981723237,0.4377358490566038,F-26,ST-39A,1,1st,55.2,146.1
138,310.0,0.5433962264150943,102.34986945169713,102.34986945169713,0.4528301886792453,F-26,ST-39A,1,1st,55.2,146.1
139,307.5,0.5584905660377358,104.96083550913838,104.96083550913838,0.4679245283018868,F-26,ST-39A,1,1st,55.2,146.1
140,306.5,0.5735849056603773,106.00522193211488,106.00522193211488,0.4830188679245283,F-26,ST-39A,1,1st,55.2,146.1
