pixel_x,pixel_y,axial_strain_global_pct,deviator_stress_kPa,q_smooth_kPa,axial_strain_local_pct,figure_id,specimen_id,stage_index,stage,matric_suction_kPa,source_q_peak_kPa
108,412.5,0.22641509433962262,9.659090909090908,10.511363636363637,0.0,F-34,ST-59C,1,1st,10.3,89.5
109,412.0,0.2641509433962264,10.227272727272728,10.795454545454545,0.03773584905660379,F-34,ST-59C,1,1st,10.3,89.5
110,411.5,0.3018867924528302,10.795454545454545,12.21590909090909,0.07547169811320756,F-34,ST-59C,1,1st,10.3,89.5
111,409.0,0.33962264150943394,13.636363636363637,13.636363636363637,0.11320754716981132,F-34,ST-59C,1,1st,10.3,89.5
112,407.0,0.3773584905660377,15.909090909090908,15.909090909090908,0.1509433962264151,F-34,ST-59C,1,1st,10.3,89.5
113,406.5,0.4150943396226415,16.477272727272727,16.477272727272727,0.18867924528301885,F-34,ST-59C,1,1st,10.3,89.5
114,403.5,0.45283018867924524,19.886363636363637,19.886363636363637,0.22641509433962262,F-34,ST-59C,1,1st,10.3,89.5
115,402.0,0.49056603773584906,21.59090909090909,21.59090909090909,0.26415094339622647,F-34,ST-59C,1,1st,10.3,89.5
116,401.0,0.5283018867924528,22.727272727272727,22.727272727272727,0.30188679245283023,F-34,ST-59C,1,1st,10.3,89.5
117,400.5,0.5660377358490566,23.295454545454547,23.295454545454547,0.339622641509434,F-34,ST-59C,1,1st,10.3,89.5
118,399.5,0.6037735849056604,24.431818181818183,24.431818181818183,0.37735849056603776,F-34,ST-59C,1,1st,10.3,89.5
119,398.5,0.6415094339622641,25.568181818181817,25.568181818181817,0.41509433962264153,F-34,ST-59C,1,1st,10.3,89.5
120,397.5,0.6792452830188679,26.704545454545453,26.704545454545453,0.4528301886792453,F-34,ST-59C,1,1st,10.3,89.5
121,397.0,0.7169811320754716,27.272727272727273,27.272727272727273,0.49056603773584906,F-34,ST-59C,1,1st,10.3,89.5
122,394.5,0.7547169811320754,30.113636363636363,30.113636363636363,0.5283018867924528,F-34,ST-59C,1,1st,10.3,89.5
123,393.5,0.7924528301886792,31.25,31.25,0.5660377358490566,F-34,ST-59C,1,1st,10.3,89.5
