tube_id,depth_ft,uscs,aashto,p200_pct,p2um_pct,Cu,Cc,LL,PI,theta_s,Gs,rho_d_g_cm3,a_kPa,n,m,AEV_kPa
ST-36,2.2,MH,A-7-5,83.5,22.3,30,2.8,50,16,0.541,2.69,1.23,14.9,0.78,0.60,2.1
ST-47,2.2,MH,A-7-5,87.4,25.0,13,1.1,61,22,0.615,2.75,1.06,38.5,2.04,0.30,13.0
ST-70,5.2,CL,A-7-5,72.1,17.1,32,0.8,45,19,0.533,2.70,1.26,30.9,0.85,0.64,5.1
ST-38,8.2,MH,A-7-5,94.6,21.5,14,1.5,61,21,0.611,2.72,1.06,36.3,1.64,0.61,11.4
ST-50,10.2,MH,A-7-5,88.5,14.9,12,2.4,59,23,0.594,2.79,1.13,72.4,1.14,0.97,18.0
ST-40,18.0,MH,A-7-5,85.8,8.8,8,1.1,58,16,0.580,2.74,1.15,49.8,0.76,1.63,8.8
ST-61,10.0,ML,A-4,81.3,16.1,12,0.8,34,8,0.422,2.78,1.61,44.6,1.65,0.33,13.4
ST-28,15.2,ML,A-4,66.3,8.8,9,0.9,36,7,0.435,2.69,1.52,49.9,1.66,1.03,16.7
ST-64,27.0,ML,A-7-5,84.7,2.2,4,1.1,45,12,0.442,2.81,1.57,69.2,1.03,1.73,17.8
ST-32,34.2,ML,A-4,53.1,4.7,32,0.3,38,8,0.509,2.77,1.36,73.6,1.10,1.45,19.2
ST-79,44.2,ML,A-4,60.5,3.8,14,0.6,28,3,0.456,2.83,1.54,33.0,1.42,1.12,10.1
ST-34,44.3,ML,A-4,61.5,7.3,14,0.8,38,10,0.490,2.79,1.43,36.3,1.01,1.32,8.5
