source_table,test_family,area,soil_type,specimen_id,depth_m,stage,sigma_c_net_kPa,matric_suction_kPa,sigma_a_peak_kPa,gamma_d_g_cm3,degree_saturation,qc_specimen_id_outside_program_range,qc_id_note,qc_source_confirmed,tube_id,q_peak_kPa,proposed_split,depth_ft,uscs,aashto,p200_pct,p2um_pct,Cu,Cc,LL,PI,theta_s,Gs,rho_d_g_cm3,a_kPa,n,m,AEV_kPa,fx_normalized_water_content,fx_theta_volumetric,fx_minus_measured_S,rho_d_difference_g_cm3
F1,single_stage,0.5:1 Slope,MH,ST-36,0.6-1.2,single,27.6,152.0,264.5,1.27,0.6,False,,True,ST-36,236.9,holdout,2.2,MH,A-7-5,83.5,22.3,30,2.8,50,16,0.541,2.69,1.23,14.9,0.78,0.6,2.1,0.621334456574281,0.33614194100668604,0.021334456574281013,0.040000000000000036
F1,single_stage,0.5:1 Slope,MH,ST-40,3.1-3.7,single,34.5,34.5,160.0,1.16,0.75,False,,True,ST-40,125.5,calibration,18.0,MH,A-7-5,85.8,8.8,8,1.1,58,16,0.58,2.74,1.15,49.8,0.76,1.63,8.8,0.6977587175795944,0.4047000561961647,-0.0522412824204056,0.010000000000000009
F1,single_stage,0.25:1 Slope,MH,ST-47,0.7-1.3,single,82.7,89.6,292.8,1.09,0.65,False,,True,ST-47,210.1,calibration,2.2,MH,A-7-5,87.4,25.0,13,1.1,61,22,0.615,2.75,1.06,38.5,2.04,0.3,13.0,0.7942777131165705,0.48848079356669083,0.14427771311657045,0.030000000000000027
F1,single_stage,0.25:1 Slope,MH,ST-50,3.0-3.5,single,41.4,62.1,197.2,1.11,0.71,False,,True,ST-50,155.79999999999998,calibration,10.2,MH,A-7-5,88.5,14.9,12,2.4,59,23,0.594,2.79,1.13,72.4,1.14,0.97,18.0,0.7907927605503385,0.4697308997669011,0.08079276055033857,-0.019999999999999796
F2,multistage,0.5:1 Slope,MH,ST-38A,2.5-3.0,1st,27.6,75.8,186.5,1.15,0.63,False,,True,ST-38,158.9,holdout,8.2,MH,A-7-5,94.6,21.5,14,1.5,61,21,0.611,2.72,1.06,36.3,1.64,0.61,11.4,0.6951546143758572,0.42473946938364876,0.06515461437585723,0.08999999999999986
F2,multistage,0.5:1 Slope,MH,ST-38A,2.5-3.0,2nd,27.6,137.9,180.1,1.16,0.59,False,,True,ST-38,152.5,holdout,8.2,MH,A-7-5,94.6,21.5,14,1.5,61,21,0.611,2.72,1.06,36.3,1.64,0.61,11.4,0.5737475633544713,0.35055976120958193,-0.016252436645528667,0.09999999999999987
F2,multistage,0.5:1 Slope,MH,ST-38B,2.5-3.0,1st,27.6,20.7,103.4,1.08,0.91,False,,True,ST-38,75.80000000000001,holdout,8.2,MH,A-7-5,94.6,21.5,14,1.5,61,21,0.611,2.72,1.06,36.3,1.64,0.61,11.4,0.9237438303087931,0.5644074803186726,0.013743830308793115,0.020000000000000018
F2,multistage,0.5:1 Slope,MH,ST-38B,2.5-3.0,2nd,27.6,89.6,195.1,1.09,0.65,False,,True,ST-38,167.5,holdout,8.2,MH,A-7-5,94.6,21.5,14,1.5,61,21,0.611,2.72,1.06,36.3,1.64,0.61,11.4,0.6593903639803544,0.40288751239199655,0.009390363980354421,0.030000000000000027
F2,multistage,1:1 Slope,ML,ST-64,7.5-8.0,1st,75.8,34.5,237.9,1.68,0.8,False,,True,ST-64,162.10000000000002,calibration,27.0,ML,A-7-5,84.7,2.2,4,1.1,45,12,0.442,2.81,1.57,69.2,1.03,1.73,17.8,0.7660867450791746,0.3386103413249952,-0.03391325492082542,0.10999999999999988
F2,multistage,1:1 Slope,ML,ST-64,7.5-8.0,2nd,75.8,69.0,257.9,1.69,0.7,False,,True,ST-64,182.09999999999997,calibration,27.0,ML,A-7-5,84.7,2.2,4,1.1,45,12,0.442,2.81,1.57,69.2,1.03,1.73,17.8,0.6223119786440358,0.2750618945606638,-0.0776880213559642,0.11999999999999988
F3,multistage,Sheet pile,ML,ST-34A,13.5-14.1,1st,89.6,6.9,253.3,1.56,0.81,False,,True,ST-34,163.70000000000002,calibration,44.3,ML,A-4,61.5,7.3,14,0.8,38,10,0.49,2.79,1.43,36.3,1.01,1.32,8.5,0.9181473106416012,0.44989218221438454,0.1081473106416011,0.13000000000000012
F3,multistage,Sheet pile,ML,ST-34A,13.5-14.1,2nd,89.6,27.6,316.1,1.56,0.8,False,,True,ST-34,226.50000000000003,calibration,44.3,ML,A-4,61.5,7.3,14,0.8,38,10,0.49,2.79,1.43,36.3,1.01,1.32,8.5,0.7468186207147327,0.365941124150219,-0.05318137928526734,0.13000000000000012
F3,multistage,Sheet pile,ML,ST-34A,13.5-14.1,3rd,89.6,55.2,351.2,1.56,0.73,False,,True,ST-34,261.6,calibration,44.3,ML,A-4,61.5,7.3,14,0.8,38,10,0.49,2.79,1.43,36.3,1.01,1.32,8.5,0.6127521620894909,0.30024855942385054,-0.11724783791050908,0.13000000000000012
F3,multistage,Sheet pile,ML,ST-34B,13.5-14.1,1st,44.8,6.9,173.4,1.54,0.78,False,,True,ST-34,128.60000000000002,calibration,44.3,ML,A-4,61.5,7.3,14,0.8,38,10,0.49,2.79,1.43,36.3,1.01,1.32,8.5,0.9181473106416012,0.44989218221438454,0.13814731064160113,0.1100000000000001
F3,multistage,Sheet pile,ML,ST-34B,13.5-14.1,2nd,89.6,6.9,254.0,1.57,0.77,False,,True,ST-34,164.4,calibration,44.3,ML,A-4,61.5,7.3,14,0.8,38,10,0.49,2.79,1.43,36.3,1.01,1.32,8.5,0.9181473106416012,0.44989218221438454,0.14814731064160114,0.14000000000000012
F3,multistage,Sheet pile,ML,ST-34B,13.5-14.1,3rd,89.6,27.6,288.9,1.57,0.75,False,,True,ST-34,199.3,calibration,44.3,ML,A-4,61.5,7.3,14,0.8,38,10,0.49,2.79,1.43,36.3,1.01,1.32,8.5,0.7468186207147327,0.365941124150219,-0.003181379285267294,0.14000000000000012
F3,multistage,Sheet pile,ML,ST-79A,14.1-14.7,1st,89.6,27.6,319.5,1.71,0.82,False,,True,ST-79,229.9,holdout,44.2,ML,A-4,60.5,3.8,14,0.6,28,3,0.456,2.83,1.54,33.0,1.42,1.12,10.1,0.7768717154665167,0.3542535022527316,-0.043128284533483274,0.16999999999999993
F3,multistage,Sheet pile,ML,ST-79A,14.1-14.7,2nd,62.1,56.2,357.2,1.71,0.77,False,,True,ST-79,295.09999999999997,holdout,44.2,ML,A-4,60.5,3.8,14,0.6,28,3,0.456,2.83,1.54,33.0,1.42,1.12,10.1,0.5977950825139832,0.27259455762637635,-0.17220491748601685,0.16999999999999993
F3,multistage,Sheet pile,ML,ST-79A,14.1-14.7,3rd,62.1,82.7,383.5,1.72,0.71,False,,True,ST-79,321.4,holdout,44.2,ML,A-4,60.5,3.8,14,0.6,28,3,0.456,2.83,1.54,33.0,1.42,1.12,10.1,0.4976204635498184,0.2269149313787172,-0.21237953645018154,0.17999999999999994
F3,multistage,Sheet pile,ML,ST-79B,14.1-14.7,1st,144.8,13.8,288.6,1.63,0.9,False,,True,ST-79,143.8,holdout,44.2,ML,A-4,60.5,3.8,14,0.6,28,3,0.456,2.83,1.54,33.0,1.42,1.12,10.1,0.8968048146675707,0.40894299548841223,-0.003195185332429351,0.08999999999999986
F3,multistage,Sheet pile,ML,ST-79B,14.1-14.7,2nd,144.8,41.4,374.9,1.64,0.83,False,,True,ST-79,230.09999999999997,holdout,44.2,ML,A-4,60.5,3.8,14,0.6,28,3,0.456,2.83,1.54,33.0,1.42,1.12,10.1,0.6786737025215628,0.30947520834983266,-0.15132629747843718,0.09999999999999987
F3,multistage,Sheet pile,ML,ST-79B,14.1-14.7,3rd,131.0,89.6,469.1,1.64,0.63,False,,True,ST-79,338.1,holdout,44.2,ML,A-4,60.5,3.8,14,0.6,28,3,0.456,2.83,1.54,33.0,1.42,1.12,10.1,0.4780497581221289,0.2179906897036908,-0.1519502418778711,0.09999999999999987
