soil_type,model,split,n_tubes,n_rows,rmse_kPa,mae_kPa,bias_kPa,r2,nrmse_range
MH,MC_baseline,calibration,13,25,43.08062158027056,36.83976456091363,-9.06308209863139,0.26135893673926447,0.18545252509802224
MH,MC_baseline,holdout,4,7,58.03986650007642,51.75765720016455,-2.5685564309402276,-0.3194511493969838,0.36027229360693
MH,Fredlund_suction,calibration,13,25,31.76223827748712,23.992927762919038,-4.08975817537864,0.5984942908601676,0.1367293942207797
MH,Fredlund_suction,holdout,4,7,49.7234273888234,38.89944847626555,16.58184980240056,0.0315825216464648,0.30864945616898454
ML,MC_baseline,calibration,11,32,46.33693414064292,35.75148868251872,3.1797823112969024,0.5053000181382208,0.16697994284916368
ML,MC_baseline,holdout,4,14,77.8686023132184,64.46173132147997,-10.430334505828077,0.11573267398356413,0.3080245344668449
ML,Fredlund_suction,calibration,11,32,36.28756355316917,30.482282906949152,5.2318534923485345,0.6966088401299697,0.13076599478619522
ML,Fredlund_suction,holdout,4,14,74.44977168665086,64.3139325556107,-6.923678475065586,0.19167584020471184,0.2945006791402328
SC,MC_baseline,calibration,3,7,47.39630847590197,33.68000000000004,0.9028571428570525,0.3645750465712748,0.2553680413572304
SC,MC_baseline,holdout,1,1,47.2431399317407,47.2431399317407,-47.2431399317407,,
SC,Fredlund_suction,calibration,3,7,12.946062243446084,9.913063665335832,5.144992539833075,0.9525921115277524,0.06975249053580863
SC,Fredlund_suction,holdout,1,1,25.07257631046832,25.07257631046832,-25.07257631046832,,
