figure_id,specimen_id,tube_id,soil_type,test_family,stage,stage_index,digitization_status,strain_confidence,sigma_c_net_kPa,matric_suction_kPa,gamma_d_g_cm3,degree_saturation,q_peak_source_kPa,q_peak_digitized_kPa,eps_peak_pct,eps50_pct,E_0p1_MPa,E50_MPa,lambda_mobilization,E_i_model_MPa,prepeak_nrmse,postpeak_available,postpeak_reason,residual_ratio_model,beta_softening_per_pct,postpeak_nrmse,terminal_strength_ratio,piecewise_total_nrmse,n_curve_points
F-2,ST-36,ST-36,MH,single_stage,single,1,USABLE_REVIEW_X,template_axis,27.6,152.0,1.27,0.6,264.5,264.5,3.81021897810219,0.7504211117349805,30.55280528052806,17.623438084549193,3.627790225091772,32.12546369569694,0.027870717096754476,True,fitted,0.708254238332499,0.3248921968304219,0.018150695343759602,0.7355021216407356,0.021832574511640942,534
F-3,ST-91,ST-91,MH,single_stage,single,1,USABLE_REVIEW_X,template_axis,69.0,27.6,1.3,0.92,187.5,187.5,6.278293135435993,1.3191094619666044,26.07856260296541,7.107067510548525,2.621411436301523,10.815274624149605,0.029230368338081653,True,fitted,0.41640512777590855,0.0631560836633368,0.015066063396166542,0.8352553542009884,0.023783025050510897,525
F-4,ST-40,ST-40,MH,single_stage,single,1,PASS,high_tick_calibrated,34.5,34.5,1.16,0.75,160.0,160.0,6.146892655367233,0.5677966101694915,34.69508196721312,14.089552238805972,8.971136384189133,25.954281470609946,0.025650566582249557,True,fitted,0.9449345496340946,1.0355685134765737,0.00837565043469366,0.9418032786885245,0.019510841105124563,517
F-5,ST-42,ST-42,MH,single_stage,single,1,USABLE_REVIEW_X,template_axis,75.8,20.7,1.32,0.98,200.5,200.5,11.37313432835821,1.914179104477612,21.785930735930737,5.237231968810916,3.2681003689619574,7.524347284311083,0.03176419125318098,False,insufficient_postpeak,,,,0.9918831168831168,0.03139162730939429,522
F-6,ST-43,ST-43,MH,single_stage,single,1,PASS,high_tick_calibrated,103.4,13.8,1.67,0.98,388.9,388.9,5.506692160611855,1.3996175908221795,60.43768353174603,13.893080601092898,2.261567493320885,23.034220202560878,0.030792891061650524,True,fitted,7.351753075115583e-18,0.04054589407748962,0.01410840198955114,0.7827380952380952,0.023540307801877283,509
F-7,ST-94,ST-94,MH,single_stage,single,1,PASS,high_tick_calibrated,113.8,37.9,1.36,0.94,433.7,433.7,6.433460076045627,1.1977186311787074,58.57780371485943,18.105253968253965,3.5732464553547727,30.82970849655892,0.021399572078407123,True,fitted,2.1169044915033055e-19,0.08537512845258126,0.015962955069464952,0.7183734939759036,0.019447126472448756,468
F-8,ST-47,ST-47,MH,single_stage,single,1,PASS,high_tick_calibrated,82.7,89.6,1.09,0.65,292.8,292.8,10.27289719626168,1.4990654205607477,32.92573099415204,9.766084788029927,4.54764495335301,15.811999393246774,0.01530568014629947,False,hardening_or_truncated,,,,0.9897660818713451,0.014883622644662552,521
F-9,ST-124,ST-124,MH,single_stage,single,1,PASS,high_tick_calibrated,137.9,62.1,1.2,0.81,353.0,353.0,11.518164435946462,1.4168260038240916,59.33384162653825,12.457422402159246,4.883285495342041,18.030648819132676,0.0352353443819182,False,insufficient_postpeak,,,,0.9919743178170145,0.03502705480685867,509
F-10,ST-50,ST-50,MH,single_stage,single,1,PASS,high_tick_calibrated,41.4,62.1,1.11,0.71,197.2,197.2,11.3648393194707,0.8630348857191958,29.858709333333334,11.42479888490641,14.441041006119924,26.792928617917877,0.023411676903172356,False,insufficient_postpeak,,,,0.9968000000000001,0.023114462372235342,515
F-11,ST-53,ST-53,MH,single_stage,single,1,PASS,high_tick_calibrated,82.7,27.6,1.17,0.92,202.7,202.7,10.732075471698112,2.3377358490566036,27.015751211631663,4.335391444713478,2.646284637776997,6.886849594251417,0.025953396734627217,False,insufficient_postpeak,,,,0.9870759289176092,0.025764275479259094,482
F-12,ST-54,ST-54,MH,single_stage,single,1,PASS,high_tick_calibrated,93.1,24.1,1.36,0.94,239.9,239.9,11.574626865671643,3.0335820895522376,25.857176596886745,3.9540713407134085,2.1779328605345136,6.586701256896118,0.024236997496208258,False,insufficient_postpeak,,,,0.9903381642512076,0.02414395685529197,522
F-13,ST-59B,ST-59,SC,single_stage,single,1,PASS,high_tick_calibrated,20.7,72.4,1.74,0.52,175.1,175.10000000000002,3.8382352941176463,0.963235294117647,30.260337301587303,9.089160305343512,2.1939377982437227,14.570719760968721,0.03165941672297737,True,fitted,3.2226438293521085e-19,0.013349900334467337,0.015154957155753488,0.880952380952381,0.022027823630395477,530
F-14,ST-60,ST-60,SC,single_stage,single,1,PASS,high_tick_calibrated,20.7,55.2,1.82,0.61,175.1,175.10000000000002,9.550561797752808,1.2752808988764042,28.368227206946457,6.8651541850220275,5.921130160238131,12.689200035780592,0.025907358405133668,True,fitted,4.708342130681316e-13,0.03595217581679367,0.009999468155432487,0.9573082489146165,0.023835431328609488,520
F-15,ST-114B,ST-114,SC,single_stage,single,1,PASS,high_tick_calibrated,82.7,55.2,1.72,0.63,336.5,336.5,8.1453154875717,1.35536738596012,48.81136595310908,12.413608424022572,4.8539267088666485,24.183794237795475,0.021919720275185885,True,fitted,9.511573369371758e-11,0.04894969322372192,0.002962280899298596,0.9709480122324159,0.020702878581080116,400
F-16,ST-116E,ST-116,SC,single_stage,single,1,PASS,high_tick_calibrated,137.9,10.3,1.76,0.79,392.3,392.3,11.566539923954371,2.219771863117871,44.59402080162354,8.836493662213085,2.959998017471398,13.431045346903673,0.02363638581302764,False,insufficient_postpeak,,,,0.9847792998477929,0.02354387514175518,512
F-17,ST-65A,ST-65,ML,single_stage,single,1,USABLE_REVIEW_X,template_axis,82.7,31.0,1.67,0.98,388.2,388.2,4.301886792452829,1.6330188679245285,27.445144804088596,11.885961871750432,0.8019182154275645,16.26041513821753,0.027204967949626256,True,fitted,0.7317755694678023,1.7442085322653553,0.03765166955044463,0.747870528109029,0.033998613031334175,489
F-18,ST-65B,ST-65,ML,single_stage,single,1,PASS,high_tick_calibrated,100.0,31.0,1.71,0.99,432.3,432.3,4.130019120458891,1.3236137667304015,52.797930107526895,16.330292524377032,1.3438884305385315,24.534098728560426,0.025619966991063125,True,fitted,0.6433402370629653,0.3950896813684766,0.010359269509758521,0.6635944700460829,0.017400388924363897,509
F-19,ST-75,ST-75,ML,single_stage,single,1,PASS,high_tick_calibrated,75.8,27.6,1.63,0.88,281.3,281.3,6.79035250463822,1.950834879406308,34.18608049702864,7.209733713742273,2.031135401407161,12.556909053446304,0.03635203195594235,True,fitted,0.9080838463781433,0.1965560977373544,0.0043353846164169395,0.972447325769854,0.03133189194868818,414
F-20,ST-77,ST-77,ML,single_stage,single,1,PASS,high_tick_calibrated,69.0,55.2,1.61,0.85,315.8,315.8,4.37593984962406,0.4308270676691731,85.33319148936171,36.650436300174505,8.478443441583133,68.40341827617009,0.027314628518372068,False,hardening_or_truncated,,,,0.9957446808510638,0.02403234912261977,253
F-21,ST-85,ST-85,ML,single_stage,single,1,PASS,high_tick_calibrated,103.4,27.6,1.53,0.83,330.3,330.3,4.6654205607476635,1.425901201602136,44.70890363128492,11.582148876404498,1.4672078511482503,17.46720885337872,0.03161890798898058,True,fitted,0.5521759655370777,0.39191034053775237,0.014765644615053313,0.6284916201117319,0.024049455045516355,454
F-22,ST-37A,ST-37,MH,multistage,1st,1,USABLE_REVIEW_X,template_axis,20.7,82.7,1.19,0.54,177.4,178.33751914241964,2.564102564102564,0.27192598171625143,65.7852394129786,32.61917064348652,6.672003767195702,53.07952526372019,0.047709461487363526,False,insufficient_postpeak,,,,0.9859685265079301,0.047709461487363526,176
F-22,ST-37A,ST-37,MH,multistage,2nd,2,USABLE_REVIEW_X,template_axis,20.7,124.1,1.21,0.49,195.6,194.57710944026735,1.8608058608058609,0.33083664356677656,29.871906924022667,29.561417062393787,4.10143687937546,53.624135361101246,0.033616645450490326,True,fitted,0.7209295364019895,1.2469127029222666,0.013242731786815004,0.81196428104096,0.028001432197351673,201
F-23,ST-37B,ST-37,MH,multistage,1st,1,USABLE_REVIEW_X,template_axis,20.7,93.1,1.08,0.65,177.2,170.8431007751938,2.298507462686567,0.9786976936129596,27.055450159937756,9.052846510031543,0.4215882052684649,10.959521953395663,0.03331812883130459,False,insufficient_postpeak,,,,0.9282847411778259,0.03333513771805971,156
F-23,ST-37B,ST-37,MH,multistage,2nd,2,USABLE_REVIEW_X,template_axis,20.7,124.1,1.09,0.6,197.2,204.82118959107808,4.447761194029851,0.30439913647417116,30.54852471110348,32.39168190227977,19.886564797092525,92.60458010909574,0.04630189358885253,False,hardening_or_truncated,,,,1.037036700604229,0.045412688510351046,332
F-24,ST-38A,ST-38,MH,multistage,1st,1,USABLE_REVIEW_X,template_axis,27.6,75.8,1.15,0.63,186.5,186.6910041841004,3.123388581952118,1.0137709434190312,17.960226645802404,9.198330313700472,1.2496247645913257,13.432687210954084,0.03631256570342042,False,hardening_or_truncated,,,,0.9875695254340692,0.034066704427319225,247
F-24,ST-38A,ST-38,MH,multistage,2nd,2,USABLE_REVIEW_X,template_axis,27.6,137.9,1.16,0.59,180.1,179.91592741935486,1.6206261510128912,0.632638776804263,7.276934302874881,14.23403106190901,0.4890032749721647,16.547276474273907,0.028735805068708067,True,fitted,0.8753660233386703,0.7491795314857073,0.004870551891444087,0.9307074832603385,0.02160425874803453,201
F-25,ST-38B,ST-38,MH,multistage,1st,1,USABLE_REVIEW_X,template_axis,27.6,20.7,1.08,0.91,103.4,102.33604928457868,3.02367941712204,0.7586354033080637,18.959594551988253,6.81486782380045,2.3016770387936343,11.290661433155586,0.031919099253174106,False,insufficient_postpeak,,,,0.9760696167853276,0.03191909925317411,167
F-25,ST-38B,ST-38,MH,multistage,2nd,2,USABLE_REVIEW_X,template_axis,27.6,89.6,1.09,0.65,195.1,197.1496937212864,4.772313296903461,0.41715265916769473,27.704390187638275,23.384724478235928,10.112043339491517,45.42785690414512,0.019469716811526323,False,hardening_or_truncated,,,,0.9944405862019825,0.016740929215124607,386
F-26,ST-39A,ST-39,MH,multistage,1st,1,USABLE_REVIEW_X,template_axis,20.7,55.2,1.08,0.67,146.1,143.56106750392462,2.6867924528301885,0.7526242044605634,24.601931318318268,9.706039158328414,1.9610426945079364,16.10129346656131,0.030212608384289165,False,insufficient_postpeak,,,,0.976258999793047,0.03021260838428917,179
F-26,ST-39A,ST-39,MH,multistage,2nd,2,USABLE_REVIEW_X,template_axis,20.7,82.7,1.09,0.61,166.2,169.19222941720628,1.9169811320754715,0.31914915000341953,30.511706992624145,26.037982554272702,4.66495355862502,49.11447826427593,0.04691874807387975,True,fitted,0.8738712989540691,0.22603690755299893,0.010016660947047258,0.934901437139208,0.028126525624666745,389
F-27,ST-39B,ST-39,MH,multistage,1st,1,USABLE_REVIEW_X,template_axis,34.5,55.2,1.1,0.66,143.5,145.5041204437401,1.922365988909427,0.5905242460538934,25.216123323003405,12.150220838426309,1.4067517893306432,17.96582356125005,0.028467065409254012,False,insufficient_postpeak,,,,1.0117077199629927,0.02798973531757752,137
