baseline_model,candidate_model,subset,metric,n_tubes,n_stages,baseline_mean,candidate_mean,change_pct,bootstrap_p025_pct,bootstrap_p975_pct,prob_candidate_better
Suction,State,all,strength_only_nrmse,36,84,0.10127602733826399,0.09393545794215974,-7.2480818896920205,-27.7143632061499,18.80091652183264,0.6995
Suction,State,high_tick_only,strength_only_nrmse,16,16,0.10451125055200244,0.1042362330239637,-0.2631463374384728,-23.795830817185283,47.0129272323966,0.4951
Suction,StateInteraction,all,strength_only_nrmse,36,84,0.10127602733826399,0.09133066555811802,-9.820055191272724,-30.65333787263504,17.599321333958372,0.7748
Suction,StateInteraction,high_tick_only,strength_only_nrmse,16,16,0.10451125055200244,0.10151803626570347,-2.864011549464354,-29.85278830908158,44.2960797399928,0.5598
State,StateInteraction,all,strength_only_nrmse,36,84,0.09393545794215974,0.09133066555811802,-2.7729596907331957,-9.829623502779668,4.307699957034917,0.7873
State,StateInteraction,high_tick_only,strength_only_nrmse,16,16,0.1042362330239637,0.10151803626570347,-2.6077273510405257,-19.881960401439393,13.902361757525341,0.6266
StateInteraction,StateHistory,all,strength_only_nrmse,36,84,0.09133066555811802,0.09095138660511239,-0.415281056683285,-10.463737956269902,11.369791628708843,0.5503
StateInteraction,StateHistory,high_tick_only,strength_only_nrmse,16,16,0.10151803626570347,0.09891378463461686,-2.5653093055016214,-23.55695575956313,23.68642250934611,0.6009
Suction,State,all,shape_only_nrmse,36,84,0.12080697986284473,0.12150975905533878,0.5817372417487238,-4.481746131170958,6.488158706531444,0.424
Suction,State,high_tick_only,shape_only_nrmse,16,16,0.10944441678889202,0.10553445220650638,-3.572557373965997,-7.974753545284562,0.8437304464281548,0.9412
Suction,StateInteraction,all,shape_only_nrmse,36,84,0.12080697986284473,0.11830854863686395,-2.0681182733127823,-6.479781644560573,3.0290831345899485,0.7931
Suction,StateInteraction,high_tick_only,shape_only_nrmse,16,16,0.10944441678889202,0.10503889280674053,-4.0253528790320425,-9.442690203544885,1.7720891770622393,0.9207
State,StateInteraction,all,shape_only_nrmse,36,84,0.12150975905533878,0.11830854863686395,-2.634529475955028,-6.2642786066461005,0.5817103778936971,0.9425
State,StateInteraction,high_tick_only,shape_only_nrmse,16,16,0.10553445220650638,0.10503889280674053,-0.46957120580505546,-3.3696910166319785,2.6102440692038757,0.6246
StateInteraction,StateHistory,all,shape_only_nrmse,36,84,0.11830854863686395,0.100754560507568,-14.837463844794629,-21.519964385906075,-6.968180963506667,0.9993
StateInteraction,StateHistory,high_tick_only,shape_only_nrmse,16,16,0.10503889280674053,0.09497009085955865,-9.5857845395489,-32.526518711231084,26.801471775764014,0.7466
Suction,State,all,eps_only_nrmse,36,84,0.13152550371595853,0.13217974524049536,0.4974255988783175,-3.509353769378183,4.838106714956941,0.4069
Suction,State,high_tick_only,eps_only_nrmse,16,16,0.1275796886572343,0.12138247351178781,-4.8575249012375386,-9.260667466264582,-0.720987087026163,0.9894
Suction,StateInteraction,all,eps_only_nrmse,36,84,0.13152550371595853,0.12974803694972528,-1.3514236524589576,-5.039480108475551,2.6684350073503262,0.7543
Suction,StateInteraction,high_tick_only,eps_only_nrmse,16,16,0.1275796886572343,0.12003029079444848,-5.917397935551187,-10.993099914383743,-1.1396371419835722,0.9927
State,StateInteraction,all,eps_only_nrmse,36,84,0.13217974524049536,0.12974803694972528,-1.8396981219366786,-3.895939954778379,0.02424075954689451,0.9737
State,StateInteraction,high_tick_only,eps_only_nrmse,16,16,0.12138247351178781,0.12003029079444848,-1.1139851398793745,-3.925717773123757,1.4420253383706476,0.7988
StateInteraction,StateHistory,all,eps_only_nrmse,36,84,0.12974803694972528,0.09836117457568178,-24.190626010168675,-33.57957348429106,-14.781185029287442,1.0
StateInteraction,StateHistory,high_tick_only,eps_only_nrmse,16,16,0.12003029079444848,0.09277748441194505,-22.704940729647795,-39.939662186773006,-0.3111610616148336,0.9765
Suction,State,all,lambda_only_nrmse,36,84,0.08592660456268333,0.08523712815059308,-0.8024015560713644,-4.280728422991173,4.12712594290271,0.6731
Suction,State,high_tick_only,lambda_only_nrmse,16,16,0.07469310264577954,0.0744566231016879,-0.31660158129072785,-7.309404105210125,6.642361892777747,0.5243
Suction,StateInteraction,all,lambda_only_nrmse,36,84,0.08592660456268333,0.08429665334066327,-1.8969110094778765,-4.147054908624705,0.5801100773907617,0.9331
Suction,StateInteraction,high_tick_only,lambda_only_nrmse,16,16,0.07469310264577954,0.07443433860791958,-0.34643632235644056,-7.581097683594038,6.66329904853707,0.5264
State,StateInteraction,all,lambda_only_nrmse,36,84,0.08523712815059308,0.08429665334066327,-1.1033628541170608,-4.022400353619952,0.6591254151511742,0.7769
State,StateInteraction,high_tick_only,lambda_only_nrmse,16,16,0.0744566231016879,0.07443433860791958,-0.029929498330700063,-1.4315419629189756,1.52800413448954,0.5365
StateInteraction,StateHistory,all,lambda_only_nrmse,36,84,0.08429665334066327,0.08728842510313525,3.5490990969493197,-5.714657360456001,16.068271664594636,0.2719
StateInteraction,StateHistory,high_tick_only,lambda_only_nrmse,16,16,0.07443433860791958,0.07398165735103937,-0.6081618582851814,-16.392039350481205,22.66116761524696,0.5487
