pdf_page,image_index,xref,pixel_width,pixel_height,colorspace,bpc,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width_pt,bbox_height_pt,page_area_fraction
44,1,178,455,366,DeviceRGB,8,258.88763427734375,76.18281555175781,390.899658203125,240.10357666015625,132.01202392578125,163.92076110839844,0.044644796488937925
44,2,180,493,334,DeviceRGB,8,587.785888671875,68.37965393066406,708.1096801757812,246.0165557861328,120.32379150390625,177.63690185546875,0.04409690355816597
44,3,182,675,495,DeviceRGB,8,72.0,252.29998779296875,396.04998779296875,489.8999938964844,324.04998779296875,237.60000610351562,0.15884803731236702
44,4,183,660,495,DeviceRGB,8,400.8999938964844,252.29998779296875,717.75,489.8999938964844,316.8500061035156,237.60000610351562,0.1553186344327554
45,1,186,483,359,DeviceRGB,8,259.19525146484375,67.90507507324219,388.83184814453125,241.66409301757812,129.6365966796875,173.75901794433594,0.04647274981990753
45,2,188,501,338,DeviceRGB,8,592.2672119140625,66.87216186523438,714.6592407226562,246.8161163330078,122.39202880859375,179.94395446777344,0.0454374332771176
45,3,190,660,495,DeviceRGB,8,72.0,252.29998779296875,388.8500061035156,489.8999938964844,316.8500061035156,237.60000610351562,0.1553186344327554
45,4,191,660,495,DeviceRGB,8,400.8999938964844,252.29998779296875,717.75,489.8999938964844,316.8500061035156,237.60000610351562,0.1553186344327554
46,1,194,470,358,DeviceRGB,8,260.01800537109375,67.90771484375,389.34527587890625,236.76132202148438,129.3272705078125,168.85360717773438,0.045053014069813255
46,2,196,495,354,DeviceRGB,8,589.6741333007812,66.87223815917969,717.7708740234375,244.7411651611328,128.09674072265625,177.86892700195312,0.047006894568202985
46,3,198,660,495,DeviceRGB,8,72.0,252.29998779296875,388.8500061035156,489.8999938964844,316.8500061035156,237.60000610351562,0.1553186344327554
46,4,199,660,495,DeviceRGB,8,400.8999938964844,252.29998779296875,717.75,489.8999938964844,316.8500061035156,237.60000610351562,0.1553186344327554
47,1,204,470,363,DeviceRGB,8,258.8751220703125,73.59420776367188,389.843017578125,242.67947387695312,130.9678955078125,169.08526611328125,0.04568714403890805
47,2,206,497,331,DeviceRGB,8,588.0616455078125,66.83973693847656,707.3963623046875,245.64010620117188,119.334716796875,178.8003692626953,0.04402086929165103
47,3,202,660,495,DeviceRGB,8,72.0,252.29998779296875,388.8500061035156,489.8999938964844,316.8500061035156,237.60000610351562,0.1553186344327554
47,4,203,660,495,DeviceRGB,8,400.8999938964844,252.29998779296875,717.699951171875,489.8999938964844,316.7999572753906,237.60000610351562,0.1552941006928482
