x_norm,stage1_mean,stage1_p025,stage1_p975,stage2_mean,stage2_p025,stage2_p975,delta_mean,delta_p025,delta_p975
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,-0.023756741281234447,-0.02880302,-0.01884908,-0.019891043079068194,-0.029425908,-0.011822409,0.0038656982021662537,-0.0057769907,0.012645331
0.01,-0.022039768425937516,-0.026836641,-0.017948724,-0.018275258772293183,-0.026151255,-0.011616768,0.003764509653644334,-0.0036653243,0.010227448
0.015,-0.015050904212896883,-0.01882499,-0.011917121,-0.01258116812353317,-0.018727342,-0.0075566308,0.0024697360893637093,-0.0035232094,0.0070392443
0.02,-0.007620761021881485,-0.010528237,-0.005179153,-0.005713980674874986,-0.008743403,-0.0030985628,0.0019067803470064976,-0.0011361748,0.0046257195
0.025,0.003706992466412067,0.0022025981,0.0055727186,0.002570285666956711,0.001361461,0.003915662,-0.001136706799455356,-0.0024427297,0.00013327938
0.03,0.014469165010069547,0.010335749,0.019516598,0.013230956771532425,0.007294875,0.020519877,-0.0012382082385371167,-0.007351896,0.0048291623
0.035,0.023975030053232118,0.018321741,0.030745454,0.026889353947190022,0.015033174,0.04214794,0.0029143238939579046,-0.008268314,0.014782595
0.04,0.0338652176845452,0.026892094,0.042231336,0.041187828530913996,0.025838504,0.060701605,0.007322610846368805,-0.006007396,0.021967197
0.045,0.04338088250361741,0.035109792,0.053234227,0.05625819928995478,0.034632917,0.0847614,0.012877316786337372,-0.00509612,0.03401808
0.05,0.05320282700167108,0.04333851,0.065686785,0.06782975942469452,0.04254664,0.10034469,0.014626932423023431,-0.006087512,0.0379227
0.055,0.06455826672600938,0.053184737,0.07917211,0.08134975924504219,0.05227951,0.11767979,0.016791492519032777,-0.006658122,0.04251111
0.06,0.07418282143710551,0.062634155,0.08896116,0.09739845683097603,0.065208375,0.13573252,0.023215635393870504,-0.003414729,0.05159735
0.065,0.08169203470193726,0.06939629,0.097443484,0.11239445729141526,0.07614958,0.15649565,0.030702422589478022,0.00095660536,0.06316764
0.07,0.08904165930570959,0.07575377,0.10635485,0.1261911779671649,0.08702347,0.17349245,0.03714951866145533,0.005199745,0.071794145
0.075,0.09903928980947828,0.084335886,0.11768622,0.1411101881886885,0.0983304,0.19303623,0.042070898379210214,0.0059549585,0.080927946
0.08,0.10882616174166587,0.093685135,0.12781985,0.15666576022367573,0.1120035,0.20989853,0.04783959848200982,0.009455653,0.088456176
0.085,0.11770753471286263,0.101777524,0.1380627,0.17283144255925292,0.1247432,0.22972798,0.05512390784639027,0.013883365,0.098469295
0.09,0.12531347377286373,0.10912375,0.14589575,0.18780357351112575,0.13820411,0.24566004,0.06249009973826211,0.01845525,0.10796169
0.095,0.13337895859756477,0.11655042,0.15459199,0.20135083997720818,0.15009873,0.26061112,0.06797188137964341,0.02225931,0.11506537
0.1,0.14198782421104847,0.12397827,0.16419049,0.21546589692932244,0.16260487,0.27567357,0.07347807271827403,0.026602337,0.12160494
0.105,0.14950074959699255,0.13196474,0.17129141,0.22975317059592582,0.17597654,0.2905286,0.08025242099893332,0.031970166,0.12947552
0.11,0.15785000888772374,0.13997504,0.17960948,0.2433275868908789,0.18749428,0.30708858,0.08547757800315516,0.035181314,0.13745013
0.115,0.16705766803576372,0.14770731,0.18987998,0.25284047628553447,0.19683564,0.3167151,0.08578280824977076,0.035417847,0.13798977
0.12,0.1749831328973227,0.15491922,0.19883707,0.2661040772936085,0.2101318,0.32984945,0.09112094439628576,0.040943533,0.14236948
0.125,0.18333601202728544,0.16370851,0.20667863,0.28025558771279224,0.22411141,0.3438374,0.09691957568550678,0.046547554,0.14759997
0.13,0.1908913605472898,0.17031871,0.21511798,0.2932109011183315,0.23598391,0.35812137,0.10231954057104177,0.051587593,0.1537664
0.135,0.19879362736173933,0.17781624,0.2236065,0.3051203925304216,0.24705802,0.37084106,0.10632676516868228,0.055435896,0.15848407
0.14,0.20736110123374032,0.1865614,0.2325059,0.3174784532539435,0.2589402,0.38373676,0.11011735202020324,0.060024224,0.16170989
0.145,0.215846246788099,0.19511527,0.2410078,0.32999516158598413,0.27136153,0.396122,0.11414891479788511,0.064830825,0.16510946
0.15,0.22248379468945753,0.20150842,0.24792153,0.34111744167058994,0.282062,0.4075102,0.11863364698113231,0.068760805,0.17010592
0.155,0.22986670394389971,0.20862314,0.25534478,0.35163216532415414,0.29189098,0.4186016,0.12176546138025444,0.07133877,0.17400855
0.16,0.23700253166559238,0.21461233,0.26328635,0.3619995926373675,0.30220345,0.4285567,0.12499706097177514,0.07438201,0.17672287
0.165,0.24498320992298128,0.22174135,0.27160957,0.3711224716130095,0.3115375,0.43780288,0.1261392616900283,0.07540515,0.17821027
0.17,0.25331476697707356,0.22954161,0.2802896,0.38212600674407693,0.32214564,0.4486776,0.12881123976700334,0.07822888,0.18067782
