q0_fraction,metric,n_specimens,n_tubes,mean_delta,median_specimen_delta,bootstrap_p025,bootstrap_p975,prob_positive,fraction_specimens_positive,source,soil_type
0.02,y25,25,18,0.1554533775101329,0.1404101272395389,0.1085158282099995,0.2016313195892515,1.0,0.84,q0_sensitivity,
0.02,y50,25,18,0.1658962392325188,0.1731158088605274,0.1272780482568094,0.2046219906593351,1.0,0.92,q0_sensitivity,
0.02,y75,25,18,0.0826681524463788,0.0879433434441371,0.0630021261354813,0.1026817224185109,1.0,0.92,q0_sensitivity,
0.02,mean_y_10_90,25,18,0.1262859212385092,0.1412411008862183,0.0961025999671781,0.1557724861434529,1.0,0.88,q0_sensitivity,
0.05,y25,25,18,0.1623924466574099,0.1450303717832101,0.1146836544864313,0.2089275421330253,1.0,0.84,q0_sensitivity,
0.05,y50,25,18,0.1711546879203737,0.1789836408103527,0.1319212632501333,0.2100100999336943,1.0,0.92,q0_sensitivity,
0.05,y75,25,18,0.0850059826150821,0.0899122969866222,0.0645418864547438,0.104984724686964,1.0,0.92,q0_sensitivity,
0.05,mean_y_10_90,25,18,0.1309616475096706,0.1480093129908598,0.0997297543376267,0.1609190576786631,1.0,0.92,q0_sensitivity,
0.1,y25,25,18,0.1711183735171635,0.1477466955684475,0.1271383232885748,0.2149427519915568,1.0,0.92,q0_sensitivity,
0.1,y50,25,18,0.1796860412572157,0.1904500087205219,0.1401567495165969,0.2185722580229945,1.0,0.92,q0_sensitivity,
0.1,y75,25,18,0.0886224059639918,0.0966191983742208,0.0683643996594854,0.1092381652704157,1.0,0.92,q0_sensitivity,
0.1,mean_y_10_90,25,18,0.137143260450652,0.1531319458379393,0.1081901324859669,0.1657854531517432,1.0,0.92,q0_sensitivity,
0.15,y25,25,18,0.1675137732100418,0.1450245516913348,0.1286769566223417,0.2074789276712016,1.0,0.96,q0_sensitivity,
0.15,y50,25,18,0.1842612499019486,0.1888688837700204,0.1449663079762751,0.2240317604847736,1.0,0.96,q0_sensitivity,
0.15,y75,25,18,0.0913322546987583,0.1028427091712859,0.0705200242879245,0.1127805730007638,1.0,0.92,q0_sensitivity,
0.15,mean_y_10_90,25,18,0.1369912961336905,0.1499850403876981,0.1102073208559987,0.1638355289899378,1.0,0.96,q0_sensitivity,
,y25,10,6,0.2364606223777175,0.201019088190911,0.1772662997756856,0.2980801498536414,1.0,0.8,soil_stratification,MH
,y50,10,6,0.1723278509858143,0.1717135774659749,0.1115163148178722,0.2143424706057524,1.0,0.9,soil_stratification,MH
,y75,10,6,0.0790713219448574,0.0854672016414785,0.0424752623685026,0.1052864202573344,0.99998,0.9,soil_stratification,MH
,mean_y_10_90,10,6,0.1604146361220176,0.1623512592104297,0.1166014550369737,0.1961825998274478,1.0,0.9,soil_stratification,MH
,y25,14,11,0.1117673671504236,0.1176113076509703,0.061165727243234,0.1609063757274204,0.99998,0.8571428571428571,soil_stratification,ML
,y50,14,11,0.1555375233583487,0.1675521705082749,0.1075887399028398,0.2036627386657827,1.0,0.9285714285714286,soil_stratification,ML
,y75,14,11,0.07970064717514,0.0894566762565983,0.058362267645696,0.1021774129697935,1.0,0.9285714285714286,soil_stratification,ML
,mean_y_10_90,14,11,0.1054562828161295,0.1104341028143409,0.0705474070508689,0.1408108242462954,1.0,0.9285714285714286,soil_stratification,ML
