model,tube_id,specimen_id,stage,stage_index,soil_type,test_family,strain_confidence,eps_obs,eps_pred,lambda_obs,lambda_pred,protocol_group,log_eps_obs,log_eps_pred,eps_log_residual,log1p_lambda_obs,log1p_lambda_pred,lambda_log_residual,joint_absolute_shape_error
StateInteraction,ST-114,ST-114B,single,1,SC,single_stage,high_tick_calibrated,8.1453154875717,5.801423730841309,4.8539267088666485,2.455074871826728,other,2.097442975198493,1.7581033582640462,0.3393396169344469,1.76711266835303,1.2398441275569652,0.5272685407960649,0.4333040788652559
StateInteraction,ST-116,ST-116E,single,1,SC,single_stage,high_tick_calibrated,11.566539923954371,8.053279966362265,2.959998017471398,1.9115051048668317,other,2.4481164406414737,2.0860794576831205,0.3620369829583532,1.376243524627728,1.0686701656394841,0.3075733589882439,0.33480517097329854
StateInteraction,ST-124,ST-124,single,1,MH,single_stage,high_tick_calibrated,11.518164435946462,5.504442838693921,4.883285495342041,2.664020474357382,other,2.4439253054148065,1.7055555550060433,0.7383697504087632,1.7721153635748026,1.298561034775906,0.4735543287988966,0.6059620396038299
StateInteraction,ST-30,ST-30,1st,1,ML,multistage,template_axis,1.696060037523452,3.1571629562969887,1.6491763454832764,2.2059884272682972,multistage_stage1,0.5283079362263319,1.1496738256960444,-0.6213658894697125,0.9742487786605728,1.1650204444703962,-0.1907716658098234,0.40606877763976795
StateInteraction,ST-30,ST-30,2nd,2,ML,multistage,template_axis,1.425891181988743,2.438188545261581,3.2244432717467917,2.6023931176241635,multistage_later,0.3547970091145322,0.8912553641071869,-0.5364583549926547,1.4408874821259485,1.281598379505999,0.15928910261994944,0.3478737288063021
StateInteraction,ST-30,ST-30,3rd,3,ML,multistage,template_axis,4.352720450281426,2.9450621167944697,6.9593164574219495,2.4616441532603885,multistage_later,1.470801040494511,1.0801299091712533,0.3906711313232578,2.0743431239858925,1.2417436650067677,0.8325994589791248,0.6116352951511913
StateInteraction,ST-34,ST-34A,1st,1,ML,multistage,template_axis,3.191176470588235,3.082448661921346,0.8394293125089781,1.897731315861235,multistage_stage1,1.1603896483643528,1.1257243012287326,0.034665347135620195,0.6094553672673778,1.063928125956849,-0.4544727586894711,0.24456905291254566
StateInteraction,ST-34,ST-34A,2nd,2,ML,multistage,template_axis,2.235294117647059,2.933260074838018,1.8758311226981628,2.089759120559497,multistage_later,0.8043728156701697,1.0761144580171442,-0.2717416423469745,1.056341718627845,1.1280931333595536,-0.07175141473170865,0.17174652853934158
StateInteraction,ST-34,ST-34A,3rd,3,ML,multistage,template_axis,1.9705882352941175,2.620895033494453,1.6050854626952324,2.3786150970155027,multistage_later,0.6783320947748046,0.9635158752731783,-0.2851837804983737,0.9574654818438593,1.2174658909199676,-0.26000040907610833,0.272592094787241
StateInteraction,ST-34,ST-34B,1st,1,ML,multistage,template_axis,2.4261036468330137,2.4600260551955446,3.9567450278405656,2.008933784401063,multistage_stage1,0.886286532953436,0.9001719414310858,-0.013885408477649852,1.6007492809272539,1.10158579155701,0.4991634893702439,0.2565244489239469
