model,subset,n_stages,n_tubes,eps_MdAPE_pct,lambda_MdAE_pct,joint_shape_error_mean,joint_shape_error_median
StateInteraction,all,84,36,31.911942373235746,41.47292135702402,0.46949225003479983,0.3919685924430094
StateInteraction,multistage_only,64,18,31.49245095428299,44.49850115147533,0.5074315764185255,0.4256861356269261
StateInteraction,later_multistage_only,39,18,31.12696347949499,36.837684535531814,0.4838165519035294,0.3946873691895079
StateInteraction,high_tick_only,16,16,42.95349873030023,28.02223140350954,0.36251436680094656,0.3205816972053672
PlusTestFamily,all,84,36,26.672193913759166,41.70930955765682,0.40993483450053114,0.35873383004294285
PlusTestFamily,multistage_only,64,18,20.83512497854003,42.330260947623685,0.4222032925716965,0.3660953063353173
PlusTestFamily,later_multistage_only,39,18,26.829555283112107,40.31556734421928,0.4200863806888888,0.3912928122856446
PlusTestFamily,high_tick_only,16,16,30.620803043643306,25.076135242547547,0.36431590650640944,0.26657703828957036
PlusStageIndex,all,84,36,38.24021533446559,41.99392625180057,0.45621945966463023,0.3806437653697785
PlusStageIndex,multistage_only,64,18,39.02258552347882,45.012731738150805,0.4979934889677381,0.42810496714086016
PlusStageIndex,later_multistage_only,39,18,37.568045719097555,36.43524980182436,0.4669894772364611,0.3774097306214612
PlusStageIndex,high_tick_only,16,16,40.746731424124995,27.882607940907768,0.3377107426542929,0.2968441741976825
PlusFamilyAndStage,all,84,36,26.76907502913957,41.60743427982317,0.4075762854728366,0.3419137590700572
PlusFamilyAndStage,multistage_only,64,18,21.727000917930077,43.45309885216502,0.42050444151885735,0.3583598320259378
PlusFamilyAndStage,later_multistage_only,39,18,24.101690098308254,41.37467376815927,0.4351091657525788,0.3726199705098636
PlusFamilyAndStage,high_tick_only,16,16,30.66736907811689,28.05308526101419,0.3606574079835152,0.3141667891303057
PlusMechanicalHistory,all,84,36,25.60410140974171,41.92573690949645,0.40639910247203026,0.3244245477395276
PlusMechanicalHistory,multistage_only,64,18,19.935348894576194,43.91209168015414,0.41889149254388597,0.3432228566343246
PlusMechanicalHistory,later_multistage_only,39,18,27.102098293860383,42.82257216374252,0.4526608254193377,0.360789162065162
PlusMechanicalHistory,high_tick_only,16,16,30.075536724446657,28.505901159952106,0.3598265963049771,0.3086364064726863
