figure_id,specimen_id,tube_id,soil_type,test_family,family_normalized,protocol_group,stage,stage_index,strain_confidence,q_peak_kPa,eps_peak_pct,q0_kPa,q0_over_qpeak,delta_q_peak_kPa,lambda_phase5a,lambda_absolute_recomputed,lambda_incremental,absolute_prepeak_nrmse,incremental_prepeak_nrmse,lambda_change_after_q0_reset,lambda_scale_max_abs_diff,n_prepeak_points,n_q0_points
F-2,ST-36,ST-36,MH,single_stage,single,single_stage,single,1,template_axis,264.5,3.81021897810219,28.432814710042432,0.10749646393210749,236.06718528995756,3.627790225091772,3.627790225091772,2.8408262496091967,0.027870717096754476,0.04460118746453448,-0.7869639754825752,1.1701708935163424e-08,175,9
F-3,ST-91,ST-91,MH,single_stage,single,single_stage,single,1,template_axis,187.5,6.278293135435993,32.74299835255354,0.17462932454695224,154.75700164744646,2.621411436301523,2.621411436301523,1.4620657653044618,0.029230368338081653,0.023082973806433604,-1.1593456709970613,5.0620494462805254e-09,283,15
F-4,ST-40,ST-40,MH,single_stage,single,single_stage,single,1,high_tick_calibrated,160.0,6.146892655367233,37.90163934426229,0.23688524590163934,122.09836065573771,8.971136384189133,8.971136384189133,5.296167909213671,0.025650566582249557,0.03737062730201817,-3.6749684749754623,2.483232286465409e-09,273,14
F-5,ST-42,ST-42,MH,single_stage,single,single_stage,single,1,template_axis,200.5,11.37313432835821,33.199675324675326,0.16558441558441558,167.30032467532467,3.2681003689619574,3.2681003689619574,1.9837689041019724,0.03176419125318098,0.022619327190094865,-1.284331464859985,5.744784870032049e-09,509,26
F-6,ST-43,ST-43,MH,single_stage,single,single_stage,single,1,high_tick_calibrated,388.9,5.506692160611855,63.65922619047619,0.1636904761904762,325.2407738095238,2.261567493320885,2.261567493320885,1.2888107582429202,0.030792891061650524,0.03934587864255731,-0.9727567350779647,2.427325607179398e-08,241,13
F-7,ST-94,ST-94,MH,single_stage,single,single_stage,single,1,high_tick_calibrated,433.7,6.433460076045627,70.54156626506024,0.16265060240963855,363.15843373493976,3.5732464553547727,3.5732464553547727,2.3750400873761204,0.021399572078407123,0.0427023892228912,-1.1982063679786523,1.9044641419441177e-09,283,15
F-8,ST-47,ST-47,MH,single_stage,single,single_stage,single,1,high_tick_calibrated,292.8,10.27289719626168,48.8,0.16666666666666666,244.0,4.54764495335301,4.54764495335301,2.946139041541316,0.01530568014629947,0.026311773352292605,-1.601505911811694,3.2006575167997653e-10,459,23
F-9,ST-124,ST-124,MH,single_stage,single,single_stage,single,1,high_tick_calibrated,353.0,11.518164435946462,84.14205457463885,0.23836276083467095,268.85794542536115,4.883285495342041,4.883285495342041,2.5164633048204212,0.0352353443819182,0.023454477491055874,-2.36682219052162,3.071747300964489e-10,503,26
F-10,ST-50,ST-50,MH,single_stage,single,single_stage,single,1,high_tick_calibrated,197.2,11.3648393194707,51.114239999999995,0.2592,146.08576,14.441041006119924,14.441041006119924,9.609961522764236,0.023411676903172356,0.06515024113046015,-4.831079483355689,1.7521712081247642e-08,502,26
F-11,ST-53,ST-53,MH,single_stage,single,single_stage,single,1,high_tick_calibrated,202.7,10.732075471698112,34.38368336025848,0.16962843295638128,168.3163166397415,2.646284637776997,2.646284637776997,1.527357964413206,0.025953396734627217,0.02177024504210446,-1.118926673363791,3.1069153916263303e-09,475,24
