figure_id,specimen_id,stage,stage_index,scale_factor,lambda_incremental
F-2,ST-36,single,1,0.5,2.8408262496091967
F-2,ST-36,single,1,0.75,2.840826238914891
F-2,ST-36,single,1,1.0,2.8408262496091967
F-2,ST-36,single,1,1.25,2.840826237907488
F-2,ST-36,single,1,1.5,2.840826238914891
F-2,ST-36,single,1,2.0,2.8408262496091967
F-3,ST-91,single,1,0.5,1.4620657653044618
F-3,ST-91,single,1,0.75,1.462065764879007
F-3,ST-91,single,1,1.0,1.4620657653044618
F-3,ST-91,single,1,1.25,1.4620657703665112
F-3,ST-91,single,1,1.5,1.462065764879007
F-3,ST-91,single,1,2.0,1.4620657653044618
F-4,ST-40,single,1,0.5,5.296167909213671
F-4,ST-40,single,1,0.75,5.296167906730439
F-4,ST-40,single,1,1.0,5.296167909213671
F-4,ST-40,single,1,1.25,5.2961679113732965
F-4,ST-40,single,1,1.5,5.296167906730439
F-4,ST-40,single,1,2.0,5.296167909213671
F-5,ST-42,single,1,0.5,1.9837689041019724
F-5,ST-42,single,1,0.75,1.9837688983571875
F-5,ST-42,single,1,1.0,1.9837689041019724
F-5,ST-42,single,1,1.25,1.98376890383825
F-5,ST-42,single,1,1.5,1.9837688983571875
F-5,ST-42,single,1,2.0,1.9837689041019724
F-6,ST-43,single,1,0.5,1.2888107582429202
F-6,ST-43,single,1,0.75,1.2888107448378172
F-6,ST-43,single,1,1.0,1.2888107582429202
F-6,ST-43,single,1,1.25,1.2888107339696642
F-6,ST-43,single,1,1.5,1.2888107448378172
F-6,ST-43,single,1,2.0,1.2888107582429202
F-7,ST-94,single,1,0.5,2.3750400873761204
F-7,ST-94,single,1,0.75,2.3750400892805845
F-7,ST-94,single,1,1.0,2.3750400873761204
F-7,ST-94,single,1,1.25,2.37504008765172
F-7,ST-94,single,1,1.5,2.3750400892805845
F-7,ST-94,single,1,2.0,2.3750400873761204
F-8,ST-47,single,1,0.5,2.946139041541316
F-8,ST-47,single,1,0.75,2.9461390418613815
F-8,ST-47,single,1,1.0,2.946139041541316
F-8,ST-47,single,1,1.25,2.9461390415641087
F-8,ST-47,single,1,1.5,2.9461390418613815
F-8,ST-47,single,1,2.0,2.946139041541316
F-9,ST-124,single,1,0.5,2.5164633048204212
F-9,ST-124,single,1,0.75,2.516463305074752
F-9,ST-124,single,1,1.0,2.5164633048204212
F-9,ST-124,single,1,1.25,2.516463305127596
F-9,ST-124,single,1,1.5,2.516463305074752
F-9,ST-124,single,1,2.0,2.5164633048204212
F-10,ST-50,single,1,0.5,9.609961522764236
F-10,ST-50,single,1,0.75,9.609961507915683
F-10,ST-50,single,1,1.0,9.609961522764236
F-10,ST-50,single,1,1.25,9.609961505242524
F-10,ST-50,single,1,1.5,9.609961507915683
F-10,ST-50,single,1,2.0,9.609961522764236
F-11,ST-53,single,1,0.5,1.527357964413206
F-11,ST-53,single,1,0.75,1.5273579675201214
F-11,ST-53,single,1,1.0,1.527357964413206
F-11,ST-53,single,1,1.25,1.5273579675017266
F-11,ST-53,single,1,1.5,1.5273579675201214
F-11,ST-53,single,1,2.0,1.527357964413206
F-12,ST-54,single,1,0.5,1.3351724205039905
F-12,ST-54,single,1,0.75,1.3351723890807208
F-12,ST-54,single,1,1.0,1.3351724205039905
F-12,ST-54,single,1,1.25,1.3351724172742796
F-12,ST-54,single,1,1.5,1.3351723890807208
F-12,ST-54,single,1,2.0,1.3351724205039905
F-13,ST-59B,single,1,0.5,1.2102513560943458
F-13,ST-59B,single,1,0.75,1.2102513682167355
F-13,ST-59B,single,1,1.0,1.2102513560943458
F-13,ST-59B,single,1,1.25,1.2102513521726093
F-13,ST-59B,single,1,1.5,1.2102513682167355
F-13,ST-59B,single,1,2.0,1.2102513560943458
F-14,ST-60,single,1,0.5,3.602955945120064
F-14,ST-60,single,1,0.75,3.602955861216425
F-14,ST-60,single,1,1.0,3.602955945120064
F-14,ST-60,single,1,1.25,3.602955893394957
F-14,ST-60,single,1,1.5,3.602955861216425
F-14,ST-60,single,1,2.0,3.602955945120064
F-15,ST-114B,single,1,0.5,3.2304312773692265
F-15,ST-114B,single,1,0.75,3.2304312846514738
F-15,ST-114B,single,1,1.0,3.2304312773692265
F-15,ST-114B,single,1,1.25,3.2304312803970032
F-15,ST-114B,single,1,1.5,3.2304312846514738
F-15,ST-114B,single,1,2.0,3.2304312773692265
F-16,ST-116E,single,1,0.5,1.786175176406591
F-16,ST-116E,single,1,0.75,1.7861751763076101
F-16,ST-116E,single,1,1.0,1.786175176406591
F-16,ST-116E,single,1,1.25,1.786175176086652
F-16,ST-116E,single,1,1.5,1.7861751763076101
F-16,ST-116E,single,1,2.0,1.786175176406591
F-17,ST-65A,single,1,0.5,0.524087325857958
F-17,ST-65A,single,1,0.75,0.5240873257486028
F-17,ST-65A,single,1,1.0,0.524087325857958
F-17,ST-65A,single,1,1.25,0.5240873267929288
F-17,ST-65A,single,1,1.5,0.5240873257486028
F-17,ST-65A,single,1,2.0,0.524087325857958
