figure_id,specimen_id,stage_index,stage,tube_id,soil_type,family_normalized,protocol_group,strain_confidence,q0_over_qpeak,lambda_incremental,incremental_prepeak_nrmse,y10,y25,y50,y75,y90,mean_y_10_90,partial_auc_10_90,mobilization_excess,n_prepeak_points
F-2,ST-36,1,single,ST-36,MH,single,single_stage,template_axis,0.1074964639321074,2.8408262496091967,0.0446011874645344,0.22282091917591126,0.53486529318542,0.8272583201267829,0.9651347068145799,0.9968304278922345,0.7598036243368015,0.6085927892234548,0.2598036243368015,175
F-3,ST-91,1,single,ST-91,MH,single,single_stage,template_axis,0.1746293245469522,1.4620657653044618,0.0230829738064336,0.1904191616766468,0.44311377245508987,0.7005988023952096,0.9141716566866266,0.9596806387225549,0.6772050929197507,0.5422748502994013,0.17720509291975073,283
F-4,ST-40,1,single,ST-40,MH,single,single_stage,high_tick_calibrated,0.2368852459016393,5.296167909213671,0.0373706273020181,0.3679914070891516,0.6949516648764772,0.8281417830290012,0.9527389903329754,0.96219119226638,0.8201178189484357,0.6568693877551022,0.3201178189484357,273
F-5,ST-42,1,single,ST-42,MH,single,single_stage,template_axis,0.1655844155844155,1.9837689041019724,0.0226193271900948,0.2603112840466927,0.5214007782101167,0.7470817120622567,0.8793774319066149,0.96147859922179,0.701150397563864,0.5613715953307393,0.201150397563864,509
F-6,ST-43,1,single,ST-43,MH,single,single_stage,high_tick_calibrated,0.1636904761904762,1.2888107582429202,0.0393458786425573,0.15480427046263348,0.39857651245551595,0.7313167259786476,0.9270462633451956,0.9768683274021353,0.6693905970248226,0.5360302491103204,0.16939059702482262,241
F-7,ST-94,1,single,ST-94,MH,single,single_stage,high_tick_calibrated,0.1626506024096385,2.3750400873761204,0.0427023892228912,0.1841726618705036,0.5035971223021583,0.7985611510791366,0.9433453237410071,0.9802158273381295,0.7346993833504625,0.5885220323741007,0.23469938335046248,283
F-8,ST-47,1,single,ST-47,MH,single,single_stage,high_tick_calibrated,0.1666666666666666,2.946139041541316,0.0263117733522926,0.2782456140350876,0.5649122807017544,0.814035087719298,0.8973684210526314,0.9722807017543857,0.7512554211615996,0.601634298245614,0.2512554211615996,459
F-9,ST-124,1,single,ST-124,MH,single,single_stage,high_tick_calibrated,0.2383627608346709,2.5164633048204212,0.0234544774910558,0.28008429926238143,0.5437302423603793,0.7660695468914647,0.9209694415173867,0.9789251844046365,0.7332974232438199,0.5871569020021075,0.23329742324381986,503
F-10,ST-50,1,single,ST-50,MH,single,single_stage,high_tick_calibrated,0.2592,9.609961522764236,0.0651502411304601,0.4701943844492443,0.8110151187904968,0.9254859611231102,0.9740820734341251,0.9935205183585315,0.8860310827307729,0.7095957343412527,0.3860310827307729,502
F-11,ST-53,1,single,ST-53,MH,single,single_stage,high_tick_calibrated,0.1696284329563812,1.527357964413206,0.0217702450421044,0.19221789883268478,0.4406614785992217,0.7431906614785989,0.9036964980544746,0.961089494163424,0.6805272252700775,0.5449411478599222,0.18052722527007747,475
F-12,ST-54,1,single,ST-54,MH,single,single_stage,high_tick_calibrated,0.1465378421900161,1.3351724205039903,0.0368659286808636,0.1554716981132076,0.40094339622641517,0.732075471698113,0.9165094339622643,0.9773584905660377,0.6697982538380406,0.5363555188679245,0.1697982538380406,518
F-13,ST-59B,1,single,ST-59,SC,single,single_stage,high_tick_calibrated,0.1696428571428571,1.2102513560943458,0.035691513057296,0.15089605734767025,0.39695340501792115,0.7114695340501793,0.9220430107526882,0.9795698924731183,0.661222088648456,0.5294576164874552,0.161222088648456,175
F-14,ST-60,1,single,ST-60,SC,single,single_stage,high_tick_calibrated,0.2163531114327062,3.602955945120064,0.0480966244993802,0.25669436749769164,0.6149584487534626,0.8467220683287164,0.9579870729455222,0.9815327793167133,0.7904773375085311,0.6332386888273316,0.2904773375085311,426
F-15,ST-114B,1,single,ST-114,SC,single,single_stage,high_tick_calibrated,0.1788990825688073,3.2304312773692265,0.0421141370323056,0.2309124767225326,0.5768156424581006,0.8324022346368715,0.936685288640596,0.9869646182495344,0.7691060295869623,0.6160856610800745,0.2691060295869623,356
F-16,ST-116E,1,single,ST-116,SC,single,single_stage,high_tick_calibrated,0.1621004566210045,1.786175176406591,0.0184440535914977,0.21780199818346954,0.4872842870118074,0.7411444141689372,0.8910081743869209,0.9569482288828337,0.6937796243956651,0.5555557220708446,0.1937796243956651,508
F-17,ST-65A,1,single,ST-65,ML,single,single_stage,template_axis,0.0715502555366269,0.524087325857958,0.036512344902946,0.11192660550458713,0.3110091743119265,0.6055045871559634,0.8880733944954128,0.963302752293578,0.5914775770699183,0.473451376146789,0.09147757706991833,191
F-18,ST-65B,1,single,ST-65,ML,single,single_stage,high_tick_calibrated,0.1236559139784946,0.7909953642518336,0.0362314486286178,0.11481156879929888,0.3251533742331288,0.6652059596844873,0.8913234005258545,0.964943032427695,0.6179411108268327,0.4947432077125329,0.11794111082683267,181
F-19,ST-75,1,single,ST-75,ML,single,single_stage,high_tick_calibrated,0.1393841166936791,1.2788704706820515,0.0543105617092399,0.12429378531073453,0.3851224105461395,0.7391713747645952,0.9430320150659135,0.9896421845574388,0.671394942157654,0.5376880885122411,0.17139494215765405,306
F-20,ST-77,1,single,ST-77,ML,single,single_stage,high_tick_calibrated,0.2716312056737588,4.656674366460172,0.0386761196212296,0.3164556962025316,0.6611489776046738,0.8734177215189872,0.9668938656280427,0.9902629016553066,0.8137094715960979,0.6517693281402142,0.31370947159609786,195
F-21,ST-85,1,single,ST-85,ML,single,single_stage,high_tick_calibrated,0.1368715083798882,0.8154954208979392,0.0425599052563375,0.11941747572815536,0.3349514563106794,0.6618122977346279,0.9093851132686085,0.9954692556634304,0.6259824318076747,0.501128640776699,0.12598243180767466,209
F-22,ST-37A,1,1st,ST-37,MH,multistage,multistage_stage1,template_axis,0.3308957405827294,2.7741160208007,0.0341779246693007,0.24224703458381808,0.544114453326866,0.8258992163531207,0.9589468104768758,0.970243304317572,0.7509283861122271,0.6014661249730893,0.2509283861122271,176
F-22,ST-37A,2,2nd,ST-37,MH,multistage,multistage_later,template_axis,0.1233941965559432,3.14988171552985,0.052368982954295,0.22417908098694334,0.5335114563022603,0.8593531437832826,0.9766561512764504,0.9905587299423074,0.775874959069159,0.6215424975233499,0.27587495906915904,128
F-23,ST-37B,1,1st,ST-37,MH,multistage,multistage_stage1,template_axis,0.1379882723372444,0.007048848364951,0.036702583033639,0.03742060309973751,0.2068527782457712,0.5322041329740447,0.8014245830527118,0.8881156469004373,0.4984710991749363,0.3989553942108233,-0.0015289008250636837,155
F-23,ST-37B,2,2nd,ST-37,MH,multistage,multistage_later,template_axis,0.162640849007806,16.412618174880706,0.0707831331564815,0.6138459160242559,0.9173073369159453,0.9615380890104249,0.9499996319422999,1.0115380696389673,0.9289241503798954,0.7437204810916578,0.4289241503798954,299
F-24,ST-38A,1,1st,ST-38,MH,multistage,multistage_stage1,template_axis,0.0928369172410773,0.8539126856048425,0.0523878589600336,0.09610838019040026,0.3455748855611613,0.6763182309694831,0.9329038756136072,0.9833311121332617,0.6327536678363251,0.5066681038774326,0.13275366783632514,213
F-24,ST-38A,2,2nd,ST-38,MH,multistage,multistage_later,template_axis,0.0348318668884857,0.3884769958197142,0.0383773801549864,0.04186313679916647,0.29665084869754177,0.5889710280710321,0.8278796191145507,0.9541908077327254,0.5617474364868661,0.4497165515105976,0.06174743648686609,111
F-25,ST-38B,1,1st,ST-38,MH,multistage,multistage_stage1,template_axis,0.1758137819054317,1.2559642374726694,0.0353881128668854,0.1463803046006589,0.3916960412052806,0.7392573172043324,0.9010847896271712,0.968758096276722,0.6601679093310958,0.5286473210093386,0.16016790933109581,167
F-25,ST-38B,2,2nd,ST-38,MH,multistage,multistage_later,template_axis,0.1510135946736451,7.742067645247955,0.0377283514116475,0.4904812987134826,0.7474541396289575,0.885591233788233,0.9953439935312194,0.9991285714533914,0.8655745776511707,0.6930635103337752,0.36557457765117074,263
F-26,ST-39A,1,1st,ST-39,MH,multistage,multistage_stage1,template_axis,0.1363490223174646,1.1659456576299718,0.0336168051727926,0.16124314689472413,0.37890034518342497,0.7409606750253644,0.8735757958395632,0.9278848453158544,0.6537903229411676,0.5235783899871135,0.15379032294116757,179
F-26,ST-39A,2,2nd,ST-39,MH,multistage,multistage_later,template_axis,0.1342422576405016,3.54274734711765,0.0658005748138627,0.2543681871268427,0.577773893836732,0.8989644929664168,0.9981828533297532,0.9986443340756294,0.8017996359320274,0.6423161756222757,0.3017996359320274,128
F-27,ST-39B,1,1st,ST-39,MH,multistage,multistage_stage1,template_axis,0.1287217411560057,0.804702315963379,0.0360106875294361,0.11404410710262591,0.3317646752076391,0.6661212619403379,0.890321608858,0.9615991757971414,0.6214872575724623,0.49760813413858274,0.12148725757246226,131
F-27,ST-39B,2,2nd,ST-39,MH,multistage,multistage_later,template_axis,0.1063012965530339,5.778956101924747,0.0403030694131233,0.35298778978642575,0.725916416062273,0.8885916611075534,0.9515627237057265,0.9723781582867893,0.8328868246421717,0.6671604789667651,0.3328868246421717,290
F-28,ST-49A,1,1st,ST-49,MH,multistage,multistage_stage1,template_axis,0.1405874078009384,0.8145765722033977,0.0341537418526462,0.11752324135797731,0.341161790389,0.6672564985526185,0.8900340714564766,0.9664457027423409,0.6227472413848901,0.4986016069545858,0.12274724138489013,159
F-28,ST-49A,2,2nd,ST-49,MH,multistage,multistage_later,template_axis,0.1043792054282978,2.1984853162895317,0.0568477842495322,0.1808145458735313,0.4786015349306508,0.8209494547243754,0.9632016566912297,0.98719600401094,0.7388049557085601,0.5918179629706797,0.23880495570856008,162
F-29,ST-49B,1,1st,ST-49,MH,multistage,multistage_stage1,template_axis,0.1411327304734448,0.2869849174931124,0.0142037797193345,0.124886439343468,0.308107991801319,0.5718484327832479,0.7912213229457871,0.9054266852401427,0.5495534067860373,0.439814709651301,0.04955340678603726,156
F-29,ST-49B,2,2nd,ST-49,MH,multistage,multistage_later,template_axis,0.0892331660031157,1.7489899414733308,0.0386639069964746,0.17390715575406265,0.45313836358452914,0.7572717697741455,0.9368941841680131,0.9842491843263964,0.7026702577849291,0.5627541666666668,0.2026702577849291,157
F-29,ST-49B,3,3rd,ST-49,MH,multistage,multistage_later,template_axis,0.073394495412844,2.267710960928669,0.0573921254275372,0.17656765676567654,0.4801980198019802,0.8300330033003299,0.962871287128713,0.9933993399339933,0.7386715659143553,0.5917056930693069,0.23867156591435534,203
F-30,ST-51,1,1st,ST-51,MH,multistage,multistage_stage1,template_axis,0.3565404468754842,1.8572213777652968,0.0320926654447521,0.2837475209261938,0.5183263458979022,0.7002352984230105,0.8593104912169335,0.9374019494975866,0.6889054988585046,0.5515160529050367,0.1889054988585046,152
F-30,ST-51,2,2nd,ST-51,MH,multistage,multistage_later,template_axis,0.1497940040103683,9.307089453081057,0.0458882043507634,0.5481939721195653,0.7928349379164784,0.8937745712160301,0.9359856905958425,0.9525030851357691,0.8604911662804723,0.6889436462126418,0.3604911662804723,332
F-31,ST-52,1,1st,ST-52,MH,multistage,multistage_stage1,template_axis,0.1306046661018235,0.3440665514194206,0.0208717797318847,0.08745959424527819,0.299420493239717,0.5803201312274926,0.8288082725243712,0.9371552757482277,0.5581935888380108,0.446784301839615,0.058193588838010846,234
F-31,ST-52,2,2nd,ST-52,MH,multistage,multistage_later,template_axis,0.0752861839997651,2.3808608062477505,0.0368398371032906,0.2348528602655289,0.502585120968232,0.8000654106379022,0.9464570268700818,0.9973418132609464,0.7399039848903298,0.5925422211528992,0.23990398489032982,159
F-32,ST-57,1,1st,ST-57,ML,multistage,multistage_stage1,template_axis,0.0978573523235775,0.4063616006583638,0.0272647012730908,0.09376406159939926,0.2881866010922711,0.5874042682550598,0.8452554376534078,0.9495909375703865,0.5702598675873874,0.4564508059099225,0.07025986758738745,206
F-32,ST-57,2,2nd,ST-57,ML,multistage,multistage_later,template_axis,0.0443083573487031,0.9209772452151316,0.0545369638093214,0.09747455710516398,0.34715416509611763,0.6758386732001511,0.9351677346400301,0.9924613644930267,0.6400953333036784,0.5125519035054655,0.1400953333036784,107
F-32,ST-57,3,3rd,ST-57,ML,multistage,multistage_later,template_axis,0.0545151437947284,0.2000607064626653,0.0243433727024728,0.06830302739374057,0.2731381885496436,0.5544076898842559,0.7976078631801491,0.9515114378920186,0.5375225207228361,0.43015609301866864,0.03752252072283613,80
F-33,ST-59A,1,1st,ST-59,SC,multistage,multistage_stage1,template_axis,0.0778777416915068,0.3259630184490927,0.0191935144710103,0.1316870824107777,0.30341204260915516,0.5442649011751857,0.8085774537573879,0.8839612705293532,0.5549202650548538,0.444171692486807,0.05492026505485381,168
F-33,ST-59A,2,2nd,ST-59,SC,multistage,multistage_later,template_axis,0.1138716847280947,3.5082118506941513,0.0656908204814253,0.20525550895042605,0.5782713095215689,0.8801694208851895,0.9875500902331817,1.0058576141875937,0.7897229925193943,0.6326992261702673,0.28972299251939426,147
F-35,ST-62,1,1st,ST-62,ML,multistage,multistage_stage1,template_axis,0.1918298358194786,1.277211164963599,0.04302438428766,0.13818325659812172,0.3928193383132088,0.7120895239209657,0.9305082198341258,0.9995998481331866,0.6689664361000071,0.5356735232986775,0.16896643610000706,156
F-35,ST-62,2,2nd,ST-62,ML,multistage,multistage_later,template_axis,0.0844249362269662,2.093446061646205,0.0730477176894454,0.10743415365121198,0.43201242940096474,0.8259638182461676,0.9656517609044266,0.9891946725884029,0.7280108776866678,0.5833071844721687,0.22801087768666783,113
F-36,ST-64,1,1st,ST-64,ML,multistage,multistage_stage1,template_axis,0.1412140702261599,1.1100843005569578,0.0324433437413121,0.17744066294548536,0.38739663061920093,0.6976855385971699,0.9057834888578435,0.9912522898577633,0.6530271091338417,0.5227650904707344,0.15302710913384165,157
F-36,ST-64,2,2nd,ST-64,ML,multistage,multistage_later,template_axis,0.1059766767257422,1.1532933196660835,0.0800690562868673,0.03539707786709393,0.33791861545214036,0.7260516902041114,0.9470776299091036,0.9845326774196331,0.6535981206866263,0.5235966627645174,0.15359812068662626,66
F-37,ST-81,1,1st,ST-81,ML,multistage,multistage_stage1,template_axis,0.1399854496847454,1.3417442176420071,0.0565347325097283,0.12281813688315767,0.3795524350666255,0.7576251335442972,0.9381529973966495,0.991127567281192,0.673680228307583,0.5395277195271935,0.173680228307583,172
F-37,ST-81,2,2nd,ST-81,ML,multistage,multistage_later,template_axis,0.1120879270825355,2.147914639112247,0.0763032513394179,0.14306932848595458,0.45169406557835856,0.8521040887766412,0.9862315842322232,0.9964883927082384,0.7433423063165243,0.5955416622818166,0.24334230631652431,122
F-37,ST-81,3,3rd,ST-81,ML,multistage,multistage_later,template_axis,0.0765597230740764,1.5803835465067384,0.0507846303497473,0.13762572792042296,0.4166080016868219,0.768963027989109,0.9430678645149452,0.9803760437704816,0.6951461304620836,0.5567976305927501,0.19514613046208362,163
F-37,ST-81,4,4th,ST-81,ML,multistage,multistage_later,template_axis,0.0717622174217562,2.655236230185773,0.052497300028773,0.21351504380860536,0.5142429045349649,0.8590983658531762,0.9589935246733132,0.9793200178593238,0.7570430113166796,0.6064375364557573,0.2570430113166796,155
F-38,ST-30,1,1st,ST-30,ML,multistage,multistage_stage1,template_axis,0.1844827586206896,0.7391334684085601,0.0170294062900207,0.14841437632135313,0.346723044397463,0.653276955602537,0.8372093023255814,0.9027484143763214,0.6074317492416582,0.4863546511627907,0.10743174924165821,114
F-38,ST-30,2,2nd,ST-30,ML,multistage,multistage_later,template_axis,0.1702344546381243,2.059026220047052,0.0443664299234576,0.13582987376090822,0.5058247903075492,0.7810217741252223,0.8956282301109888,0.9465644327713294,0.7072917086560265,0.5666638397017709,0.20729170865602653,96
F-38,ST-30,3,3rd,ST-30,ML,multistage,multistage_later,template_axis,0.112255254226045,5.707508693840937,0.040419035930079,0.3577201752485139,0.7287508686458093,0.8635198649022259,0.9583573067122971,0.9932974168528496,0.8316185419213393,0.6660753822664246,0.3316185419213393,291
F-39,ST-83,1,1st,ST-83,ML,multistage,multistage_stage1,template_axis,0.3819784524975514,1.6545473673716278,0.0341900749480141,0.1895404120443742,0.4976228209191759,0.6782884310618068,0.9096671949286849,0.9768621236133124,0.6866568888976388,0.549842789223455,0.18665688889763876,169
F-39,ST-83,2,2nd,ST-83,ML,multistage,multistage_later,template_axis,0.1443535928836497,6.986752775654692,0.0678344162837029,0.35486658220060663,0.7499707686671293,0.9327367543086985,0.9986682504552592,1.026786094400116,0.869008796200138,0.6960979492496093,0.36900879620013805,236
F-39,ST-83,3,3rd,ST-83,ML,multistage,multistage_later,template_axis,0.084505062500732,2.000498154414083,0.0463676349121446,0.2060955217358355,0.46152665099144624,0.8251778225484995,0.9425488243092552,0.9501083125582531,0.7206759413551567,0.5772536232051659,0.22067594135515667,164
F-40,ST-74,1,1st,ST-74,ML,multistage,multistage_stage1,template_axis,0.1265843117082223,0.5692398609427861,0.0239737517215151,0.11484342550223407,0.3228824742554824,0.616411996305921,0.8567392924847174,0.9536040347613621,0.5918465607425498,0.47376536274709363,0.09184656074254982,243
F-40,ST-74,2,2nd,ST-74,ML,multistage,multistage_later,template_axis,0.0623201468501307,2.2732728226597905,0.0741282682176407,0.14159311204223973,0.46378968332203035,0.8683414320141438,0.965144886165471,0.979593162904475,0.7416826331507742,0.5942515539990065,0.2416826331507742,145
F-41,ST-87,1,1st,ST-87,ML,multistage,multistage_stage1,template_axis,0.141082407098943,0.4153249492990499,0.0197082456394855,0.11178536420244992,0.2999954161759624,0.5931468304619787,0.8361088975550588,0.9399095928859053,0.5706728569680892,0.45676241246659094,0.07067285696808923,311
F-41,ST-87,2,2nd,ST-87,ML,multistage,multistage_later,template_axis,0.0497592295345104,2.0065793129149023,0.054604269293437,0.1689189189189189,0.4510135135135135,0.8209459459459459,0.9510135135135136,0.9881756756756755,0.7233540372670808,0.5794072635135135,0.2233540372670808,169
F-41,ST-87,3,3rd,ST-87,ML,multistage,multistage_later,template_axis,0.0759037989918743,2.8956178355463114,0.0646531240861724,0.2054981503692404,0.5129848350261017,0.8936355539743063,0.9655066687407505,0.9795766753352395,0.7697261997768662,0.616666903756116,0.2697261997768662,194
