specimen_id,stage,sigma_c_net_kPa,source_peak_stress_kPa,previous_incorrect_q_kPa,corrected_q_peak_kPa,correction_kPa
ST-36,single,27.6,264.5,236.9,264.5,27.599999999999994
ST-91,single,69.0,187.5,118.5,187.5,69.0
ST-40,single,34.5,160.0,125.5,160.0,34.5
ST-42,single,75.8,200.5,124.7,200.5,75.8
ST-43,single,103.4,388.9,285.5,388.9,103.39999999999998
ST-94,single,113.8,433.7,319.9,433.7,113.80000000000001
ST-47,single,82.7,292.8,210.1,292.8,82.70000000000002
ST-124,single,137.9,353.0,215.1,353.0,137.9
ST-50,single,41.4,197.2,155.79999999999998,197.2,41.400000000000006
ST-53,single,82.7,202.7,120.0,202.7,82.69999999999999
ST-54,single,93.1,239.9,146.8,239.9,93.1
ST-59B,single,20.7,175.1,154.4,175.1,20.69999999999999
ST-60,single,20.7,175.1,154.4,175.1,20.69999999999999
ST-114B,single,82.7,336.5,253.8,336.5,82.69999999999999
ST-116E,single,137.9,392.3,254.4,392.3,137.9
ST-65A,single,82.7,388.2,305.5,388.2,82.69999999999999
ST-65B,single,100.0,432.3,332.3,432.3,100.0
ST-75,single,75.8,281.3,205.5,281.3,75.80000000000001
ST-77,single,69.0,315.8,246.8,315.8,69.0
ST-85,single,103.4,330.3,226.9,330.3,103.4
ST-37A,1st,20.7,177.4,156.70000000000002,177.4,20.69999999999999
ST-37A,2nd,20.7,195.6,174.9,195.6,20.69999999999999
ST-37B,1st,20.7,177.2,156.5,177.2,20.69999999999999
ST-37B,2nd,20.7,197.2,176.5,197.2,20.69999999999999
ST-38A,1st,27.6,186.5,158.9,186.5,27.599999999999994
ST-38A,2nd,27.6,180.1,152.5,180.1,27.599999999999994
ST-38B,1st,27.6,103.4,75.80000000000001,103.4,27.599999999999994
ST-38B,2nd,27.6,195.1,167.5,195.1,27.599999999999994
ST-39A,1st,20.7,146.1,125.4,146.1,20.69999999999999
ST-39A,2nd,20.7,166.2,145.5,166.2,20.69999999999999
ST-39B,1st,34.5,143.5,109.0,143.5,34.5
ST-39B,2nd,34.5,207.3,172.8,207.3,34.5
ST-49A,1st,24.1,168.2,144.1,168.2,24.099999999999994
ST-49A,2nd,24.1,202.7,178.6,202.7,24.099999999999994
ST-49B,1st,24.1,111.7,87.6,111.7,24.10000000000001
ST-49B,2nd,24.1,169.6,145.5,169.6,24.099999999999994
ST-49B,3rd,24.1,206.2,182.1,206.2,24.099999999999994
ST-51,1st,41.4,159.3,117.9,159.3,41.400000000000006
ST-51,2nd,41.4,200.0,158.6,200.0,41.400000000000006
ST-52,1st,62.1,215.5,153.4,215.5,62.099999999999994
ST-52,2nd,62.1,266.3,204.2,266.3,62.10000000000002
ST-57,1st,131.0,318.4,187.4,318.4,130.99999999999997
ST-57,2nd,131.0,366.5,235.5,366.5,131.0
ST-57,3rd,131.0,377.8,246.8,377.8,131.0
ST-59A,1st,20.7,136.5,115.8,136.5,20.700000000000003
ST-59A,2nd,20.7,252.4,231.7,252.4,20.700000000000017
ST-59C,1st,20.7,89.5,68.8,89.5,20.700000000000003
ST-59C,2nd,20.7,206.2,185.5,206.2,20.69999999999999
ST-62,1st,41.4,174.4,133.0,174.4,41.400000000000006
ST-62,2nd,41.4,218.6,177.2,218.6,41.400000000000006
ST-64,1st,75.8,237.9,162.10000000000002,237.9,75.79999999999998
ST-64,2nd,75.8,257.9,182.09999999999997,257.9,75.80000000000001
ST-81,1st,20.7,150.1,129.4,150.1,20.69999999999999
ST-81,2nd,20.7,163.6,142.9,163.6,20.69999999999999
ST-81,3rd,41.4,199.6,158.2,199.6,41.400000000000006
ST-81,4th,62.1,236.9,174.8,236.9,62.099999999999994
ST-30,1st,48.3,133.6,85.3,133.6,48.3
ST-30,2nd,48.3,196.2,147.89999999999998,196.2,48.30000000000001
ST-30,3rd,96.5,311.9,215.4,311.9,96.49999999999997
ST-83,1st,41.4,161.7,120.29999999999998,161.7,41.400000000000006
ST-83,2nd,41.4,190.9,149.5,190.9,41.400000000000006
ST-83,3rd,41.4,217.4,176.0,217.4,41.400000000000006
ST-74,1st,62.1,272.0,209.9,272.0,62.099999999999994
ST-74,2nd,62.1,321.7,259.59999999999997,321.7,62.10000000000002
ST-87,1st,117.2,318.0,200.8,318.0,117.19999999999999
ST-87,2nd,117.2,388.2,271.0,388.2,117.19999999999999
ST-87,3rd,117.2,443.3,326.1,443.3,117.19999999999999
ST-34A,1st,89.6,253.3,163.70000000000002,253.3,89.6
ST-34A,2nd,89.6,316.1,226.50000000000003,316.1,89.6
ST-34A,3rd,89.6,351.2,261.6,351.2,89.59999999999997
ST-34B,1st,44.8,173.4,128.60000000000002,173.4,44.79999999999998
ST-34B,2nd,89.6,254.0,164.4,254.0,89.6
ST-34B,3rd,89.6,288.9,199.3,288.9,89.59999999999997
ST-79A,1st,89.6,319.5,229.9,319.5,89.6
ST-79A,2nd,62.1,357.2,295.09999999999997,357.2,62.10000000000002
ST-79A,3rd,62.1,383.5,321.4,383.5,62.10000000000002
ST-79B,1st,144.8,288.6,143.8,288.6,144.8
ST-79B,2nd,144.8,374.9,230.09999999999997,374.9,144.8
ST-79B,3rd,131.0,469.1,338.1,469.1,131.0
ST-80A,1st,144.8,409.1,264.3,409.1,144.8
ST-80A,2nd,144.8,500.6,355.8,500.6,144.8
ST-80A,3rd,144.8,550.9,406.1,550.9,144.79999999999995
ST-80B,1st,69.0,234.3,165.3,234.3,69.0
ST-80B,2nd,124.1,297.9,173.79999999999998,297.9,124.1
ST-80B,3rd,124.1,389.9,265.79999999999995,389.9,124.10000000000002
ST-80B,4th,165.5,468.8,303.3,468.8,165.5
