Soil type,#,Depth,Stage,"𝜎 ,𝑛",𝑢 𝑎,"𝜎 , 𝑎",
,,m,,kPa,kPa,kPa,⁄𝑐 3
MH,ST-37A,2.0-2.5,1st,20.7,82.7,177.4,1.19
,,,2nd,20.7,124.1,195.6,1.21
,ST-37B,2.0-2.5,1st,20.7,93.1,177.2,1.08
,,,2nd,20.7,124.1,197.2,1.09
,ST-38A,2.5-3.0,1st,27.6,75.8,186.5,1.15
,,,2nd,27.6,137.9,180.1,1.16
,ST-38B,2.5-3.0,1st,27.6,20.7,103.4,1.08
,,,2nd,27.6,89.6,195.1,1.09
,ST-39A,4.9-5.5,1st,20.7,55.2,146.1,1.08
,,,2nd,20.7,82.7,166.2,1.09
,ST-39B,4.9-5.5,1st,34.5,55.2,143.5,1.10
,,,2nd,34.5,106.9,207.3,1.11
,ST-49A,2.0-2.5,1st,24.1,75.8,168.2,1.13
,,,2nd,24.1,120.7,202.7,1.13
,ST-49B,2.0-2.5,1st,24.1,27.6,111.7,1.12
,,,2nd,24.1,89.6,169.6,1.12
,,,3rd,24.1,137.9,206.2,1.13
,ST-51,3.0-3.5,1st,41.4,44.8,159.3,1.08
,,,2nd,41.4,89.6,200.0,1.09
,ST-52,5.6-6.2,1st,62.1,31.0,215.5,1.19
,,,2nd,62.1,62.1,266.3,1.20
ML,ST-57,13.6-14.2,1st,131.0,10.3,318.4,1.69
,,,2nd,131.0,41.4,366.5,1.69
,,,3rd,131.0,62.1,377.8,1.70
SC,ST-59A,0.5-1.0,1st,20.7,20.7,136.5,1.83
,,,2nd,20.7,137.9,252.4,1.83
,ST-59C,0.5-1.0,1st,20.7,10.3,89.5,1.79
,,,2nd,20.7,103.4,206.2,1.79
ML,ST-62,4.0-4.5,1st,41.4,41.4,174.4,1.72
,,,2nd,41.4,69.0,218.6,1.73
,ST-64,7.5-8.0,1st,75.8,34.5,237.9,1.68
,,,2nd,75.8,69.0,257.9,1.69
