Area,Soil type,#,Depth,"𝜎 ,𝑛",𝑢 −𝑢 𝑎 𝑤,"𝜎 , 𝑎",,S
,,,m,kPa,kPa,kPa,⁄𝑐 3,
0.5:1 Slope,MH,ST-36,0.6-1.2,27.6,152.0,264.5,1.27,0.60
,,ST-91,3.0-3.5,69.0,27.6,187.5,1.30,0.92
,,ST-40,3.1-3.7,34.5,34.5,160.0,1.16,0.75
,,ST-42,8.5-9.1,75.8,20.7,200.5,1.32,0.98
,,ST-43,10.3-10.9,103.4,13.8,388.9,1.67,0.98
,,ST-94,12.0-12.6,113.8,37.9,433.7,1.36,0.94
0.25:1 Slope,MH,ST-47,0.7-1.3,82.7,89.6,292.8,1.09,0.65
,,ST-124,1.2-1.8,137.9,62.1,353.0,1.20,0.81
,,ST-50,3.0-3.5,41.4,62.1,197.2,1.11,0.71
,,ST-53,7.7-8.3,82.7,27.6,202.7,1.17,0.92
,,ST-54,9.2-9.8,93.1,24.1,239.9,1.36,0.94
1:1 Slope,SC,ST-59B,0.5-1.0,20.7,72.4,175.1,1.74,0.52
,,ST-60,1.5-2.0,20.7,55.2,175.1,1.82,0.61
,,ST-114B,0.5-1.1,82.7,55.2,336.5,1.72,0.63
,,ST-116E,0.5-1.1,137.9,10.3,392.3,1.76,0.79
,ML,ST-65A,9.4-10.0,82.7,31.0,388.2,1.67,0.98
,,ST-65B,9.4-10.0,100.0,31.0,432.3,1.71,0.99
Sheet pile,ML,ST-75,7.4-8.0,75.8,27.6,281.3,1.63,0.88
,,ST-77,8.0-8.5,69.0,55.2,315.8,1.61,0.85
,,ST-85,10.0-10.5,103.4,27.6,330.3,1.53,0.83
S: Degr,ee of saturation,,,,,,,
