Area,Soil type,#,Depth,Stage,"𝜎 ,𝑛",𝑢 𝑎,"𝜎 , 𝑎",,S
,,,m,,kPa,kPa,kPa,⁄𝑐 3,
0.5:1 Slope,MH,ST-37A,2.0-2.5,1st,20.7,82.7,177.4,1.19,0.54
,,,,2nd,20.7,124.1,195.6,1.21,0.49
,,ST-37B,2.0-2.5,1st,20.7,93.1,177.2,1.08,0.65
,,,,2nd,20.7,124.1,197.2,1.09,0.60
,,ST-38A,2.5-3.0,1st,27.6,75.8,186.5,1.15,0.63
,,,,2nd,27.6,137.9,180.1,1.16,0.59
,,ST-38B,2.5-3.0,1st,27.6,20.7,103.4,1.08,0.91
,,,,2nd,27.6,89.6,195.1,1.09,0.65
,,ST-39A,4.9-5.5,1st,20.7,55.2,146.1,1.08,0.67
,,,,2nd,20.7,82.7,166.2,1.09,0.61
,,ST-39B,4.9-5.5,1st,34.5,55.2,143.5,1.10,0.66
,,,,2nd,34.5,106.9,207.3,1.11,0.59
0.25:1 Slope,,ST-49A,2.0-2.5,1st,24.1,75.8,168.2,1.13,0.65
,,,,2nd,24.1,120.7,202.7,1.13,0.62
,,ST-49B,2.0-2.5,1st,24.1,27.6,111.7,1.12,0.90
,,,,2nd,24.1,89.6,169.6,1.12,0.69
,,,,3rd,24.1,137.9,206.2,1.13,0.58
,,ST-51,3.0-3.5,1st,41.4,44.8,159.3,1.08,0.76
,,,,2nd,41.4,89.6,200.0,1.09,0.72
,,ST-52,5.6-6.2,1st,62.1,31.0,215.5,1.19,0.91
,,,,2nd,62.1,62.1,266.3,1.20,0.86
,ML,ST-57,13.6-14.2,1st,131.0,10.3,318.4,1.69,0.90
,,,,2nd,131.0,41.4,366.5,1.69,0.79
,,,,3rd,131.0,62.1,377.8,1.70,0.70
1:1 Slope,SC,ST-59A,0.5-1.0,1st,20.7,20.7,136.5,1.83,0.61
,,,,2nd,20.7,137.9,252.4,1.83,0.43
,,ST-59C,0.5-1.0,1st,20.7,10.3,89.5,1.79,0.69
,,,,2nd,20.7,103.4,206.2,1.79,0.58
,ML,ST-62,4.0-4.5,1st,41.4,41.4,174.4,1.72,0.81
,,,,2nd,41.4,69.0,218.6,1.73,0.78
,,ST-64,7.5-8.0,1st,75.8,34.5,237.9,1.68,0.80
,,,,2nd,75.8,69.0,257.9,1.69,0.70
,,,,,,,,,
