soil_type,model,split,n_tubes,n_rows,rmse_kPa,mae_kPa,bias_kPa,r2,nrmse_range
MH,MC_baseline,calibration,13,25,43.080621580270574,36.83976456091366,-9.063082098631453,0.6273271322698744,0.1337907502492875
MH,MC_baseline,holdout,4,7,58.03986650007644,51.75765720016456,-2.568556430940301,0.3619565148532763,0.23253151642658831
MH,Fredlund_suction,calibration,13,25,31.762238277487118,23.99292776291903,-4.089758175378678,0.7974249043579906,0.09864049154499105
MH,Fredlund_suction,holdout,4,7,49.72342738882332,38.89944847626553,16.581849802400487,0.5317049340946965,0.1992124494744524
ML,MC_baseline,calibration,11,32,46.33693414064291,35.75148868251871,3.179782311296858,0.7729318919323236,0.11561111312535657
ML,MC_baseline,holdout,4,14,77.86860231321837,64.46173132147996,-10.430334505828116,0.4211614209070004,0.2320971753002038
ML,Fredlund_suction,calibration,11,32,36.28756355316917,30.482282906949145,5.2318534923485185,0.8607429569395173,0.09053783321648996
ML,Fredlund_suction,holdout,4,14,74.44977168665086,64.3139325556107,-6.923678475065622,0.4708735759690945,0.22190692007943624
SC,MC_baseline,calibration,3,7,47.396308475901975,33.680000000000014,0.9028571428571378,0.7248062782736848,0.15652677832200124
SC,MC_baseline,holdout,1,1,47.243139931740586,47.243139931740586,-47.243139931740586,,
SC,Fredlund_suction,calibration,3,7,12.946062243446125,9.913063665335894,5.144992539833197,0.9794683019647459,0.042754498822477296
SC,Fredlund_suction,holdout,1,1,25.07257631046815,25.07257631046815,-25.07257631046815,,
