figure_id,specimen_id,status,n_stages,x_max_pct,y_max_kPa,x_rect_method,y_rect_method,x_scale_method,y_scale_method,peak_error_mean_abs_pct,peak_error_max_abs_pct,stage_peak_errors_pct,output_csv
F-2,ST-36,REVIEW,1,12.0,400.0,detected,detected,major_tick_score,gridline_count,33.648393194707,33.648393194707,+33.65,data/processed/stress_strain_curves/F_2_ST_36.csv
F-3,ST-91,REVIEW,1,12.0,400.0,detected,detected,major_tick_score,gridline_count,64.60236886632826,64.60236886632826,+64.60,data/processed/stress_strain_curves/F_3_ST_91.csv
F-4,ST-40,REVIEW,1,12.0,300.0,detected,detected,major_tick_score,gridline_count,49.31462140992167,49.31462140992167,+49.31,data/processed/stress_strain_curves/F_4_ST_40.csv
F-5,ST-42,REVIEW,1,12.0,350.0,detected,detected,major_tick_score,gridline_count,41.11702371368169,41.11702371368169,+41.12,data/processed/stress_strain_curves/F_5_ST_42.csv
F-6,ST-43,REVIEW,1,12.0,550.0,detected,detected,major_tick_score,gridline_count,22.155892865051456,22.155892865051456,+22.16,data/processed/stress_strain_curves/F_6_ST_43.csv
F-7,ST-94,REVIEW,1,12.0,600.0,detected,detected,major_tick_score,gridline_count,19.9226282320262,19.9226282320262,+19.92,data/processed/stress_strain_curves/F_7_ST_94.csv
F-8,ST-47,REVIEW,1,12.0,450.0,detected,detected,major_tick_score,gridline_count,30.425497294878564,30.425497294878564,+30.43,data/processed/stress_strain_curves/F_8_ST_47.csv
F-9,ST-124,REVIEW,1,12.0,500.0,detected,detected,major_tick_score,gridline_count,15.200556217131787,15.200556217131787,+15.20,data/processed/stress_strain_curves/F_9_ST_124.csv
F-10,ST-50,REVIEW,1,12.0,400.0,detected,detected,major_tick_score,gridline_count,60.06925236134161,60.06925236134161,+60.07,data/processed/stress_strain_curves/F_10_ST_50.csv
F-11,ST-53,REVIEW,1,12.0,350.0,detected,detected,major_tick_score,gridline_count,40.26521228507022,40.26521228507022,+40.27,data/processed/stress_strain_curves/F_11_ST_53.csv
F-12,ST-54,REVIEW,1,12.0,400.0,detected,detected,major_tick_score,gridline_count,33.776670511938114,33.776670511938114,+33.78,data/processed/stress_strain_curves/F_12_ST_54.csv
F-13,ST-59B,REVIEW,1,12.0,350.0,detected,detected,major_tick_score,gridline_count,75.35671522278206,75.35671522278206,+75.36,data/processed/stress_strain_curves/F_13_ST_59B.csv
F-14,ST-60,REVIEW,1,12.0,350.0,detected,detected,major_tick_score,gridline_count,75.02688818862029,75.02688818862029,+75.03,data/processed/stress_strain_curves/F_14_ST_60.csv
F-15,ST-114B,REVIEW,1,12.0,450.0,detected,detected,major_tick_score,gridline_count,12.705074983532736,12.705074983532736,+12.71,data/processed/stress_strain_curves/F_15_ST_114B.csv
F-16,ST-116E,REVIEW,1,12.0,500.0,detected,detected,major_tick_score,gridline_count,9.317148849025198,9.317148849025198,+9.32,data/processed/stress_strain_curves/F_16_ST_116E.csv
F-17,ST-65A,REVIEW,1,12.0,400.0,detected,detected,major_tick_score,gridline_count,19.918770848792708,19.918770848792708,-19.92,data/processed/stress_strain_curves/F_17_ST_65A.csv
F-18,ST-65B,REVIEW,1,12.0,350.0,detected,detected,major_tick_score,gridline_count,29.72472819801064,29.72472819801064,-29.72,data/processed/stress_strain_curves/F_18_ST_65B.csv
F-19,ST-75,REVIEW,1,12.0,500.0,detected,detected,major_tick_score,gridline_count,47.24817464681881,47.24817464681881,+47.25,data/processed/stress_strain_curves/F_19_ST_75.csv
F-20,ST-77,REVIEW,1,12.0,450.0,detected,detected,major_tick_score,gridline_count,32.53186195464547,32.53186195464547,+32.53,data/processed/stress_strain_curves/F_20_ST_77.csv
F-21,ST-85,REVIEW,1,12.0,500.0,detected,detected,major_tick_score,gridline_count,42.989862098659806,42.989862098659806,+42.99,data/processed/stress_strain_curves/F_21_ST_85.csv
F-22,ST-37A,REVIEW,2,8.0,450.0,detected,detected,major_tick_score,gridline_count,82.76098966315841,83.64539173588913,+83.65;+81.88,data/processed/stress_strain_curves/F_22_ST_37A.csv
F-23,ST-37B,REVIEW,2,8.0,450.0,detected,detected,major_tick_score,gridline_count,72.90056719861245,79.49463216741704,+66.31;+79.49,data/processed/stress_strain_curves/F_23_ST_37B.csv
F-24,ST-38A,REVIEW,2,8.0,400.0,detected,detected,major_tick_score,gridline_count,101.40807244486612,101.74939745985321,+101.75;+101.07,data/processed/stress_strain_curves/F_24_ST_38A.csv
F-25,ST-38B,REVIEW,2,8.0,450.0,detected,detected,major_tick_score,gridline_count,82.21653355494828,84.11097263670588,+80.32;+84.11,data/processed/stress_strain_curves/F_25_ST_38B.csv
F-26,ST-39A,REVIEW,2,8.0,400.0,detected,detected,major_tick_score,gridline_count,96.48584589453125,100.14264483635118,+92.83;+100.14,data/processed/stress_strain_curves/F_26_ST_39A.csv
F-27,ST-39B,REVIEW,2,8.0,450.0,detected,detected,major_tick_score,gridline_count,82.1958096644477,83.6852895479577,+83.69;+80.71,data/processed/stress_strain_curves/F_27_ST_39B.csv
F-28,ST-49A,REVIEW,2,8.0,400.0,detected,detected,major_tick_score,gridline_count,59.76713639287837,60.89326752162391,+58.64;+60.89,data/processed/stress_strain_curves/F_28_ST_49A.csv
F-29,ST-49B,REVIEW,3,8.0,400.0,detected,detected,major_tick_score,gridline_count,58.68309082268652,61.699542595769024,+54.41;+61.70;+59.94,data/processed/stress_strain_curves/F_29_ST_49B.csv
F-30,ST-51,REVIEW,2,8.0,450.0,detected,detected,major_tick_score,gridline_count,81.15755330323935,82.03517587939697,+80.28;+82.04,data/processed/stress_strain_curves/F_30_ST_51.csv
F-31,ST-52,REVIEW,2,8.0,500.0,detected,detected,major_tick_score,gridline_count,65.84286272613218,66.8694710982076,+64.82;+66.87,data/processed/stress_strain_curves/F_31_ST_52.csv
F-32,ST-57,REVIEW,3,8.0,600.0,detected,detected,major_tick_score,gridline_count,49.12149911740514,50.96811815397022,+46.80;+50.97;+49.60,data/processed/stress_strain_curves/F_32_ST_57.csv
F-33,ST-59A,REVIEW,2,8.0,450.0,detected,detected,major_tick_score,gridline_count,50.70573731701313,52.88585777067852,+48.53;+52.89,data/processed/stress_strain_curves/F_33_ST_59A.csv
F-34,ST-59C,REVIEW,2,20.0,450.0,detected,detected,major_tick_score,gridline_count,70.14836291322482,81.58672074772949,+58.71;+81.59,data/processed/stress_strain_curves/F_34_ST_59C.csv
F-35,ST-62,REVIEW,2,8.0,450.0,detected,detected,major_tick_score,gridline_count,80.87636776739842,81.62922226855711,+81.63;+80.12,data/processed/stress_strain_curves/F_35_ST_62.csv
F-36,ST-64,REVIEW,2,8.0,500.0,detected,detected,major_tick_score,gridline_count,67.15388792083294,67.49775424985542,+67.50;+66.81,data/processed/stress_strain_curves/F_36_ST_64.csv
F-37,ST-81,REVIEW,4,8.0,500.0,detected,detected,template_fallback,gridline_count,68.40672241899779,71.66731130652882,+71.67;+68.64;+66.25;+67.07,data/processed/stress_strain_curves/F_37_ST_81.csv
F-38,ST-30,REVIEW,3,14.0,550.0,detected,detected,major_tick_score,gridline_count,56.954846647845066,57.546250828402854,+55.86;+57.55;+57.46,data/processed/stress_strain_curves/F_38_ST_30.csv
F-39,ST-83,REVIEW,3,8.0,550.0,detected,detected,major_tick_score,gridline_count,128.32243248255875,135.27631231591502,+129.08;+135.28;+120.62,data/processed/stress_strain_curves/F_39_ST_83.csv
F-40,ST-74,REVIEW,2,8.0,500.0,detected,detected,major_tick_score,gridline_count,45.37636061242654,46.96551209316214,+46.97;+43.79,data/processed/stress_strain_curves/F_40_ST_74.csv
F-41,ST-87,REVIEW,3,8.0,350.0,detected,detected,major_tick_score,gridline_count,30.067975598446655,30.718475073313787,-29.70;-29.79;-30.72,data/processed/stress_strain_curves/F_41_ST_87.csv
F-42,ST-34A,y_axis_detection_failed,3,,,,,,,,,,
F-43,ST-34B,REVIEW,3,10.0,500.0,detected,detected,major_tick_score,gridline_count,42.29098165234982,46.25329762168476,+38.09;+46.25;+42.53,data/processed/stress_strain_curves/F_43_ST_34B.csv
F-44,ST-79A,y_axis_detection_failed,3,,,,,,,,,,
F-45,ST-79B,y_axis_detection_failed,3,,,,,,,,,,
F-46,ST-80A,REVIEW,3,8.0,500.0,detected,detected,major_tick_score,gridline_count,16.737561013139118,17.605660543034325,-17.61;-15.88;-16.73,data/processed/stress_strain_curves/F_46_ST_80A.csv
F-47,ST-80B,REVIEW,4,8.0,550.0,detected,detected,major_tick_score,gridline_count,8.445887610236927,11.22855727518031,-9.65;-11.23;-4.58;-8.33,data/processed/stress_strain_curves/F_47_ST_80B.csv
