figure_id,specimen_id,status,n_stages,x_max_pct,x_method,n_major_ticks,x_tick_spacing_cv,rect_method,stress_per_pixel_kPa,y_scale_cv_across_stages,peak_error_mean_abs_pct,peak_error_max_abs_pct,stage_peak_errors_pct,individual_stress_per_pixel,output_csv
F-2,ST-36,USABLE_REVIEW_X,1,12.0,template_fallback,0,,detected_frame,0.7482319660537482,,0.0,0.0,+0.00,0.748232,data/processed/stress_strain_curves_v2/F_2_ST_36.csv
F-3,ST-91,USABLE_REVIEW_X,1,12.0,template_fallback,0,,detected_frame,0.6177924217462932,,0.0,0.0,+0.00,0.617792,data/processed/stress_strain_curves_v2/F_3_ST_91.csv
F-4,ST-40,PASS,1,12.0,tick_spacing,5,0.005649717514124294,detected_frame,0.5245901639344263,,0.0,0.0,+0.00,0.524590,data/processed/stress_strain_curves_v2/F_4_ST_40.csv
F-5,ST-42,USABLE_REVIEW_X,1,12.0,template_fallback,0,,detected_frame,0.650974025974026,,0.0,0.0,+0.00,0.650974,data/processed/stress_strain_curves_v2/F_5_ST_42.csv
F-6,ST-43,PASS,1,12.0,tick_spacing,5,0.004962896296758961,detected_frame,1.1574404761904762,,0.0,0.0,+0.00,1.157440,data/processed/stress_strain_curves_v2/F_6_ST_43.csv
F-7,ST-94,PASS,1,12.0,tick_spacing,5,0.005714285714285714,detected_frame,1.3063253012048193,,0.0,0.0,+0.00,1.306325,data/processed/stress_strain_curves_v2/F_7_ST_94.csv
F-8,ST-47,PASS,1,12.0,tick_spacing,5,0.004851682934366603,detected_frame,0.856140350877193,,0.0,0.0,+0.00,0.856140,data/processed/stress_strain_curves_v2/F_8_ST_47.csv
F-9,ST-124,PASS,1,12.0,tick_spacing,5,0.004962896296758961,detected_frame,1.1332263242375602,,0.0,0.0,+0.00,1.133226,data/processed/stress_strain_curves_v2/F_9_ST_124.csv
F-10,ST-50,PASS,1,12.0,tick_spacing,5,0.0,detected_frame,0.6310399999999999,,0.0,0.0,+0.00,0.631040,data/processed/stress_strain_curves_v2/F_10_ST_50.csv
F-11,ST-53,PASS,1,12.0,tick_spacing,5,0.004906659511526564,detected_frame,0.6549273021001615,,0.0,0.0,+0.00,0.654927,data/processed/stress_strain_curves_v2/F_11_ST_53.csv
