pdf_page,side,xref,pixel_width,pixel_height,page_fraction,figure_id,specimen_id,source_rows,source_stages,source_suctions_kPa,source_q_peaks_kPa,caption
44,left,182,675,495,0.15884803731236702,F-2,ST-36,1,single,152.0,264.5,"Figure F-2 ST-36, net confining pressure = 28 kPa"
44,right,183,660,495,0.1553186344327554,F-2,ST-36,1,single,152.0,264.5,"Figure F-2 ST-36, net confining pressure = 28 kPa"
45,left,190,660,495,0.1553186344327554,F-4,ST-40,1,single,34.5,160.0,"Figure F-4 ST-40, net confining pressure = 35 kPa"
45,right,191,660,495,0.1553186344327554,F-5,ST-42,1,single,20.7,200.5,"Figure F-5 ST-42, net confining pressure = 76 kPa"
46,left,198,660,495,0.1553186344327554,F-6,ST-43,1,single,13.8,388.9,"Figure F-6 ST-43, net confining pressure = 103 kPa"
46,right,199,660,495,0.1553186344327554,F-7,ST-94,1,single,37.9,433.7,"Figure F-7 ST-94, , net confining pressure = 114 kPa"
47,left,202,660,495,0.1553186344327554,F-8,ST-47,1,single,89.6,292.8,"Figure F-8 ST-47, net confining pressure = 83 kPa"
47,right,203,660,495,0.1552941006928482,F-9,ST-124,1,single,62.1,353.0,"Figure F-9 ST-124, net confining pressure = 138 kPa"
48,left,214,660,495,0.15529411565244572,F-10,ST-50,1,single,62.1,197.2,"Figure F-10 ST-50, net confining pressure = 41 kPa"
48,right,215,660,495,0.1552941006928482,F-11,ST-53,1,single,27.6,202.7,"Figure F-11 ST-53, net confining pressure = 83 kPa"
49,left,222,660,495,0.15529411565244572,F-12,ST-54,1,single,24.1,239.9,"Figure F-12 ST-54, net confining pressure = 93 kPa"
49,right,223,675,495,0.15882354845125232,F-13,ST-59B,1,single,72.4,175.1,"Figure F-13 ST-59B, net confining pressure = 21 kPa"
50,left,230,660,495,0.15529411565244572,F-14,ST-60,1,single,55.2,175.1,"Figure F-14 ST-60, net confining pressure = 21 kPa"
50,right,231,660,495,0.1552941006928482,F-15,ST-114B,1,single,55.2,336.5,"Figure F-15 ST-114B, net confining pressure = 83 kPa"
51,left,238,660,495,0.15529411565244572,F-16,ST-116E,1,single,10.3,392.3,"Figure F-16 ST-116E, net confining pressure = 138 kPa"
51,right,239,660,495,0.1552941006928482,F-17,ST-65A,1,single,31.0,388.2,"Figure F-17 ST-65A, net confining pressure = 83 kPa"
52,left,246,660,495,0.15529411565244572,F-18,ST-65B,1,single,31.0,432.3,"Figure F-18 ST-65B, net confining pressure = 28 kPa"
52,right,247,660,495,0.1552941006928482,F-18,ST-65B,1,single,31.0,432.3,"Figure F-18 ST-65B, net confining pressure = 28 kPa"
53,left,254,660,495,0.15529411565244572,F-20,ST-77,1,single,55.2,315.8,"Figure F-20 ST-77, net confining pressure = 69 kPa"
53,right,255,660,495,0.1552941006928482,F-21,ST-85,1,single,27.6,330.3,"Figure F-21 ST-85, net confining pressure = 103 kPa"
54,left,258,660,495,0.15529411565244572,F-22,ST-37A,2,1st;2nd,82.7;124.1,177.4;195.6,"Figure F-22 ST-37A, net confining pressure = 21 kPa"
54,right,259,660,495,0.15529413061204322,F-23,ST-37B,2,1st;2nd,93.1;124.1,177.2;197.2,"Figure F-23 ST-37B, net confining pressure = 21 kPa"
55,left,270,660,495,0.1553186344327554,F-24,ST-38A,2,1st;2nd,75.8;137.9,186.5;180.1,"Figure F-24 ST-38A, net confining pressure = 28 kPa"
55,right,271,660,495,0.1553186344327554,F-25,ST-38B,2,1st;2nd,20.7;89.6,103.4;195.1,"Figure F-25 ST-38B, net confining pressure = 28 kPa"
56,left,278,660,495,0.1553186344327554,F-26,ST-39A,2,1st;2nd,55.2;82.7,146.1;166.2,"Figure F-26 ST-39A, net confining pressure = 21 kPa"
