pdf_page,side,figure_number,figure_id,specimen_id,xref,pixel_width,pixel_height,page_fraction,source_rows,source_stages,source_suctions_kPa,source_q_peaks_kPa
44,left,2,F-2,ST-36,182,675,495,0.15884803731236702,1,single,152.0,264.5
44,right,3,F-3,ST-91,183,660,495,0.1553186344327554,1,single,27.6,187.5
45,left,4,F-4,ST-40,190,660,495,0.1553186344327554,1,single,34.5,160.0
45,right,5,F-5,ST-42,191,660,495,0.1553186344327554,1,single,20.7,200.5
46,left,6,F-6,ST-43,198,660,495,0.1553186344327554,1,single,13.8,388.9
46,right,7,F-7,ST-94,199,660,495,0.1553186344327554,1,single,37.9,433.7
47,left,8,F-8,ST-47,202,660,495,0.1553186344327554,1,single,89.6,292.8
47,right,9,F-9,ST-124,203,660,495,0.1552941006928482,1,single,62.1,353.0
48,left,10,F-10,ST-50,214,660,495,0.15529411565244572,1,single,62.1,197.2
48,right,11,F-11,ST-53,215,660,495,0.1552941006928482,1,single,27.6,202.7
49,left,12,F-12,ST-54,222,660,495,0.15529411565244572,1,single,24.1,239.9
49,right,13,F-13,ST-59B,223,675,495,0.15882354845125232,1,single,72.4,175.1
50,left,14,F-14,ST-60,230,660,495,0.15529411565244572,1,single,55.2,175.1
50,right,15,F-15,ST-114B,231,660,495,0.1552941006928482,1,single,55.2,336.5
51,left,16,F-16,ST-116E,238,660,495,0.15529411565244572,1,single,10.3,392.3
51,right,17,F-17,ST-65A,239,660,495,0.1552941006928482,1,single,31.0,388.2
52,left,18,F-18,ST-65B,246,660,495,0.15529411565244572,1,single,31.0,432.3
52,right,19,F-19,ST-75,247,660,495,0.1552941006928482,1,single,27.6,281.3
53,left,20,F-20,ST-77,254,660,495,0.15529411565244572,1,single,55.2,315.8
53,right,21,F-21,ST-85,255,660,495,0.1552941006928482,1,single,27.6,330.3
54,left,22,F-22,ST-37A,258,660,495,0.15529411565244572,2,1st;2nd,82.7;124.1,177.4;195.6
54,right,23,F-23,ST-37B,259,660,495,0.15529413061204322,2,1st;2nd,93.1;124.1,177.2;197.2
55,left,24,F-24,ST-38A,270,660,495,0.1553186344327554,2,1st;2nd,75.8;137.9,186.5;180.1
55,right,25,F-25,ST-38B,271,660,495,0.1553186344327554,2,1st;2nd,20.7;89.6,103.4;195.1
56,left,26,F-26,ST-39A,278,660,495,0.1553186344327554,2,1st;2nd,55.2;82.7,146.1;166.2
56,right,27,F-27,ST-39B,279,660,495,0.1553186493923529,2,1st;2nd,55.2;106.9,143.5;207.3
57,left,28,F-28,ST-49A,286,660,495,0.1553186344327554,2,1st;2nd,75.8;120.7,168.2;202.7
57,right,29,F-29,ST-49B,287,660,495,0.1553186344327554,3,1st;2nd;3rd,27.6;89.6;137.9,111.7;169.6;206.2
58,left,30,F-30,ST-51,294,660,495,0.1553186344327554,2,1st;2nd,44.8;89.6,159.3;200.0
58,right,31,F-31,ST-52,295,660,495,0.1553186493923529,2,1st;2nd,31.0;62.1,215.5;266.3
59,left,32,F-32,ST-57,302,660,495,0.1553186344327554,3,1st;2nd;3rd,10.3;41.4;62.1,318.4;366.5;377.8
59,right,33,F-33,ST-59A,303,660,495,0.1553186493923529,2,1st;2nd,20.7;137.9,136.5;252.4
60,left,34,F-34,ST-59C,310,660,495,0.1553186344327554,2,1st;2nd,10.3;103.4,89.5;206.2
60,right,35,F-35,ST-62,311,660,495,0.1553186493923529,2,1st;2nd,41.4;69.0,174.4;218.6
61,left,36,F-36,ST-64,318,660,495,0.1553186344327554,2,1st;2nd,34.5;69.0,237.9;257.9
61,right,37,F-37,ST-81,319,660,495,0.1553186493923529,4,1st;2nd;3rd;4th,96.5;117.2;117.2;117.2,150.1;163.6;199.6;236.9
62,left,38,F-38,ST-30,326,660,495,0.1553186344327554,3,1st;2nd;3rd,6.9;48.3;48.3,133.6;196.2;311.9
62,right,39,F-39,ST-83,327,660,495,0.1553186493923529,3,1st;2nd;3rd,75.8;103.4;124.1,161.7;190.9;217.4
63,left,40,F-40,ST-74,334,660,495,0.1553186344327554,2,1st;2nd,55.2;82.7,272.0;321.7
63,right,41,F-41,ST-87,335,660,495,0.1553186493923529,3,1st;2nd;3rd,20.7;55.2;75.8,318.0;388.2;443.3
64,left,42,F-42,ST-34A,342,675,495,0.15884803731236702,3,1st;2nd;3rd,6.9;27.6;55.2,253.3;316.1;351.2
64,right,43,F-43,ST-34B,343,660,495,0.1553186493923529,3,1st;2nd;3rd,6.9;6.9;27.6,173.4;254.0;288.9
65,left,44,F-44,ST-79A,350,662,502,0.15801354446859417,3,1st;2nd;3rd,27.6;56.2;82.7,319.5;357.2;383.5
65,right,45,F-45,ST-79B,351,658,500,0.15639237305461168,3,1st;2nd;3rd,13.8;41.4;89.6,288.6;374.9;469.1
66,left,46,F-46,ST-80A,358,660,495,0.14840494463323659,3,1st;2nd;3rd,27.6;69.0;96.5,409.1;500.6;550.9
66,right,47,F-47,ST-80B,359,660,495,0.14484534806664337,4,1st;2nd;3rd;4th,6.9;6.9;55.2;55.2,234.3;297.9;389.9;468.8
