pdf_page,n_drawings,drawing_items,line_like_items,curve_like_items,n_images,n_words,has_axial_strain_text,has_deviator_text
44,186,192,192,0,4,163,False,False
45,204,210,210,0,4,174,False,False
46,194,200,200,0,4,164,False,False
47,202,211,211,0,4,163,False,False
48,186,192,192,0,4,163,False,False
49,186,195,195,0,4,163,False,False
50,189,204,204,0,4,163,False,False
51,220,241,241,0,4,162,False,False
52,207,210,210,0,4,163,False,False
53,218,233,233,0,4,162,False,False
54,186,195,195,0,4,163,False,False
55,204,204,204,0,4,169,False,False
56,204,213,213,0,4,163,False,False
57,204,213,213,0,4,163,False,False
58,222,234,234,0,4,163,False,False
59,222,228,228,0,4,163,False,False
60,209,212,212,0,4,163,False,False
61,186,186,186,0,4,176,False,False
62,181,190,190,0,4,165,False,False
63,222,228,228,0,4,163,False,False
64,232,238,238,0,4,166,False,False
65,194,200,200,0,4,168,False,False
66,204,207,207,0,4,176,False,False
67,0,0,0,0,0,310,True,True
